position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,min,max,asked_in_parts,n_valid_where_asked
11,QLEB2,QLEB2. Who is most responsible for the Beirut port explosion?,float64,0,3207,0,"{""1"": ""It was a coincidence"", ""2"": ""It was an act of terrorism"", ""3"": ""Neglect and corruption"", ""4"": ""Political party"", ""5"": ""Foreign country"", ""6"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
12,QLEB2_4,,str,0,3207,0,,,,,1,0
13,QLEB2_5,,str,0,3207,0,,,,,1,0
14,QLEB2_6,,str,0,3207,0,,,,,1,0
15,QLEB3_1,QLEB3.1. Did the Beirut port explosion cause you to:Lose your home,float64,0,3207,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
16,QLEB3_2,QLEB3.2. Did the Beirut port explosion cause you to:Lose your job or source of i,float64,0,3207,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
17,QLEB3_3,QLEB3.3. Did the Beirut port explosion cause you to:The death of family members,float64,0,3207,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
18,QLEB4_1,"QLEB4.1. After the Beirut port explosion, did you:Volunteer in street-cleaning e",float64,0,3207,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
19,QLEB4_2,"QLEB4.2. After the Beirut port explosion, did you:Donate money to organizations",float64,0,3207,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
20,QLEB4_3,"QLEB4.3. After the Beirut port explosion, did you:Participate in a protest deman",float64,0,3207,0,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
21,QLEB5,QLEB5. Who should conduct the investigation into the explosion and determine its,float64,0,3207,0,"{""1"": ""Independent international experts"", ""2"": ""Lebanese parties"", ""3"": ""Lebanese Army"", ""5"": ""FBI"", ""97"": ""the investigation is useless"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
22,QLEB6,"QLEB6. In your opinion, is it preferable for the system of governance in Lebanon",float64,0,3207,0,"{""1"": ""A sectarian system like it is now"", ""2"": ""A civil / secular system"", ""3"": ""A sectarian federal system"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
23,QLEB7,QLEB7. Would you be comfortable with authority positions that have historically,float64,0,3207,0,"{""1"": ""Yes"", ""2"": ""No"", ""3"": ""Maybe"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
24,QLEB8,,str,0,3207,0,,,,,1,0
25,Q2061A,Q2061a. What is the most important challenge facing [COUNTRY] today?,float64,3207,0,9,"{""1"": ""Economic situation [INTERVIEWER: IF ASKED, POVERTY, UNEMPLOYMENT, INFLATION]"", ""2"": ""Financial and administrative corruption"", ""6"": ""Internal instability and security"", ""7"": ""Foreign interference"", ""12"": ""Public services [INTERVIEWER: IF ASKED, HEALTH, EDUCATION, ETC.]"", ""15"": ""The spread of the coronavirus"", ""16"": ""Other- specify: ________"", ""17"": ""Beirut port explosion"", ""98"": ""Don't know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
26,Q1COVID19,"Q1COVID19. In general, to what extent are you concerned that the coronavirus wil",float64,3207,0,6,"{""1"": ""Very concerned"", ""2"": ""Somewhat concerned"", ""3"": ""Somewhat not concerned"", ""4"": ""Not at all concerned"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
27,Q2ACOVID19,Q2ACOVID19. You said you were very or somewhat concerned about the coronavirus c,float64,2106,1101,9,"{""1"": ""Having a member of your family get very ill or die"", ""2"": ""Loss of household income"", ""3"": ""Negative impacts on the economy"", ""4"": ""Inability of the healthcare system to handle COVID-19 cases"", ""5"": ""The government’s response has not been adequate"", ""6"": ""Other citizens have not done a good job of following government recommendations"", ""7"": ""Other- SPECIFY"", ""98"": ""Don't know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,2106
28,Q2BCOVID19,Q2BCOVID19. You said you were somewhat not concerned or not at all concerned abo,float64,1083,2124,9,"{""1"": ""The health threat posed by the coronavirus is exaggerated"", ""2"": ""No loss of household income"", ""3"": ""Little to no negative impacts on the economy"", ""4"": ""The country’s healthcare infrastructure can handle coronavirus cases"", ""5"": ""The government’s response has been adequate to stop the spread of the coronavirus"", ""6"": ""Other citizens have done a good job following government recommendations"", ""7"": ""Other- SPECIFY"", ""96"": ""COVID not biggest priority for Lebanon"", ""98"": ""Don't know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,1083
29,Q4COVID19_1,Q4COVID19_1.Visited family that lives in a different house,float64,1005,2202,2,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,2.0,1,1005
30,Q4COVID19_2,Q4COVID19_2.Volunteered to help others,float64,1005,2202,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
31,Q4COVID19_3,Q4COVID19_3.Practiced social distancing,float64,1005,2202,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
32,Q4COVID19_4,Q4COVID19_4.Worn a facemask in public,float64,1005,2202,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,98.0,1,1005
33,Q5COVID19,"Q5COVID19. If you were employed before the spread of the coronavirus, did it cau",float64,2205,1002,7,"{""1"": ""Permanently lose your job"", ""2"": ""A temporary interruption in your job"", ""3"": ""You had to work from home but it caused no serious interruption"", ""4"": ""Had no effect on your job status"", ""96"": ""Permanent or temporary loss due to Beirut port explosion"", ""97"": ""Not applicable- was not employed before the outbreak"", ""98"": ""Don't know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;3,2205
34,Q10COVID19_1,Q10COVID19_1.Frequency of prayer/ How often you have prayed,float64,1005,2202,6,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""Not Applicable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
35,Q10COVID19_2,Q10COVID19_2.Family unity,float64,1005,2202,6,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""Not Applicable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
36,Q10COVID19_3,Q10COVID19_3.Verbal arguments between your family members,float64,1005,2202,6,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""Not Applicable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
37,Q10COVID19_4,Q10COVID19_4.Physical arguments between your family members,float64,1005,2202,6,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""Not Applicable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
38,Q10COVID19_5,"Since the outbreak of the coronavirus, has abuse of or violence against women in",float64,2205,1002,6,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""NA. Does not happen in my household or community"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;3,2205
39,Q11COVID19,Q11COVID19. How negative of an impact do you believe the outbreak of the coronav,float64,1005,2202,6,"{""1"": ""Extremely negative"", ""2"": ""Moderately negative"", ""3"": ""Slightly negative"", ""4"": ""No negative impact at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
40,Q204_25,Q204_25. How would you evaluate the current government’s performance on respondi,float64,3207,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""97"": ""This is not the government’s responsibility"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
41,Q6COVID19,Q6COVID19. How much do you trust do you have in the statistics on the number of,float64,1005,2202,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
42,Q8COVID19_2,Q8COVID19_1.To limit freedom of speech,float64,1005,2202,5,"{""1"": ""Always"", ""2"": ""Sometimes"", ""3"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
43,Q8COVID19_3,Q8COVID19_2.To limit freedom of movement,float64,1005,2202,5,"{""1"": ""Always"", ""2"": ""Sometimes"", ""3"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
44,Q8COVID19_4,Q8COVID19_3.To censor the media,float64,1005,2202,5,"{""1"": ""Always"", ""2"": ""Sometimes"", ""3"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
45,Q8COVID19_5,Q8COVID19_4.To monitor and trace citizens’ location and movement,float64,1005,2202,5,"{""1"": ""Always"", ""2"": ""Sometimes"", ""3"": ""Never"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
46,Q101,Q101. How would you evaluate the current economic situation in your country?,float64,3207,0,6,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
47,Q118,"Q118 In your opinion, which of the following is the most important issue the gov",float64,3207,0,8,"{""1"": ""Create more job opportunities"", ""2"": ""Raise wages for existing jobs"", ""3"": ""Lower the cost of living (limiting inflation)"", ""4"": ""Reform the education system"", ""5"": ""Encouraging foreign investment"", ""6"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1;2;3,3207
48,Q111,"Q111 In the next 12 months, how concerned are you that your family might lose it",float64,1005,2202,6,"{""1"": ""Very concerned"", ""2"": ""Somewhat concerned"", ""3"": ""A little concerned"", ""4"": ""Not at all concerned"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
49,QJOR1,"In your opinion, to what extent will the reactivation of compulsory military ser",float64,0,3207,0,"{""1"": ""Great Extent"", ""2"": ""Some extent"", ""3"": ""Small extent"", ""4"": ""has no relation"", ""98"": ""Dont know"", ""99"": ""refused to answer""}",,,,1,0
50,Q201A_1,Trust in government (Council of Ministers),float64,3207,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
51,Q201A_6A_LIB,Q201a_6A_LIB. Government of National Accord,float64,0,3207,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1;2,0
52,Q201A_6B_LIB,Q201a_6B_LIB. House of Representatives,float64,0,3207,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1;2,0
53,Q201A_2,Trust in courts and legal system,float64,3207,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
54,Q201B_6,Q201b_6. The armed forces (the army),float64,3207,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
55,Q201B_13,Q201b_13. Religious leaders,float64,3207,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
56,Q201C_38,Q201c_38. Private banks,float64,0,3207,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
57,Q201C_38B,Q201c_38b. Central bank,float64,0,3207,0,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,,1,0
58,Q204A_3,How satisfied are you with the following? The government’s performance overall,float64,2205,1002,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;3,2205
59,Q204A_2,Q204a_2. The healthcare system in our country,float64,3207,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
60,Q204A_1,Q204a_1.The educational system in our country,float64,3207,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
61,Q516A,Q516a. I am interested in how you think about the core values underlying any soc,float64,1005,2202,5,"{""1"": ""For people like me, it doesn't matter what kind of government we have"", ""2"": ""Under some circumstances, a non-democratic government can be preferable"", ""3"": ""Democracy is always preferable to any other kind of government"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
62,Q210,Q210. To what extent do you think that there is corruption within the national s,float64,3207,0,6,"{""1"": ""To a large extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
63,Q211,"Q211. In your opinion, to what extent is the national government working to crac",float64,2092,1115,6,"{""1"": ""To a large extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;3,2092
64,Q409,"Q409.On average, how often do you use the Internet",float64,2007,1200,8,"{""1"": ""Throughout the day"", ""2"": ""At least once daily"", ""3"": ""Several times a week"", ""4"": ""Once a week"", ""5"": ""Less than once a week"", ""6"": ""I do not use the Internet"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1;2,2007
65,Q421,Q421 What is your primary source of information to follow the breaking news as e,float64,1005,2202,8,"{""1"": ""Face to face conversations"", ""2"": ""Phone conversations"", ""3"": ""Newspapers"", ""4"": ""Radio"", ""5"": ""TV"", ""6"": ""Social media"", ""7"": ""Other"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,98.0,1,1005
66,Q521_1,To what extent do you think that [Freedom to express opinions.] is guaranteed in,float64,3207,0,6,"{""1"": ""Guaranteed to a great extent"", ""2"": ""Guaranteed to a medium extent"", ""3"": ""Guaranteed to a limited extent"", ""4"": ""Not guaranteed at all"", ""98"": ""Don’t know"", ""99"": ""Decline to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
67,Q521_2,Q521_2.Freedom of the media to criticize the things government does,float64,3207,0,6,"{""1"": ""Guaranteed to a great extent"", ""2"": ""Guaranteed to a medium extent"", ""3"": ""Guaranteed to a limited extent"", ""4"": ""Not guaranteed at all"", ""98"": ""Don’t know"", ""99"": ""Decline to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
68,Q609,"Q609.In general, would you describe yourself as religious, somewhat religious, o",float64,3207,0,5,"{""1"": ""Religious"", ""2"": ""Somewhat religious"", ""3"": ""Not religious"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
69,Q601_3,"Q601_3.In general, men are better at political leadership than women.",float64,1005,2202,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
70,Q601_4,Q601_4.University education for males is more important than university educatio,float64,2205,1002,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;3,2205
71,Q601_18,Q601_18.A man should have final say in all decisions concerning the family.,float64,2205,1002,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;3,2205
72,Q700B_1,Favorability: United States,float64,3207,0,6,"{""1"": ""Very favorable"", ""2"": ""Somewhat favorable"", ""3"": ""Somewhat unfavorable"", ""4"": ""Very unfavorable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
73,Q700B_2,Favorability: Saudi Arabia,float64,1005,2202,6,"{""1"": ""Very favorable"", ""2"": ""Somewhat favorable"", ""3"": ""Somewhat unfavorable"", ""4"": ""Very unfavorable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
74,Q700B_3,Favorability: Iran,float64,1005,2202,6,"{""1"": ""Very favorable"", ""2"": ""Somewhat favorable"", ""3"": ""Somewhat unfavorable"", ""4"": ""Very unfavorable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
75,Q700B_13,Favorability: China,float64,3207,0,6,"{""1"": ""Very favorable"", ""2"": ""Somewhat favorable"", ""3"": ""Somewhat unfavorable"", ""4"": ""Very unfavorable"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
76,Q725_1,Foreign policy evaluation of American President Joseph Biden,float64,3207,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Neither good nor bad"", ""4"": ""Bad"", ""5"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
77,Q725_4,Foreign policy evaluation of Chinese President Xi Jinping,float64,3207,0,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Neither good nor bad"", ""4"": ""Bad"", ""5"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0,1;2;3,3207
78,Q725_5,Foreign policy evaluation of Iranian Supreme Leader Ali Khameni,float64,1005,2202,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Neither good nor bad"", ""4"": ""Bad"", ""5"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
79,Q725_6,Foreign policy evaluation of Saudi Prince Mohammed bin Salman,float64,1005,2202,7,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Neither good nor bad"", ""4"": ""Bad"", ""5"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,1.0,99.0,1,1005
