date,series,survey,interviews
2013-01-10,afrobarometer,w05,25
2013-01-11,afrobarometer,w05,20
2013-01-12,afrobarometer,w05,40
2013-01-13,afrobarometer,w05,41
2013-01-15,afrobarometer,w05,70
2013-01-16,afrobarometer,w05,80
2013-01-17,afrobarometer,w05,79
2013-01-18,afrobarometer,w05,84
2013-01-19,afrobarometer,w05,79
2013-01-20,afrobarometer,w05,85
2013-01-21,afrobarometer,w05,39
2013-01-22,afrobarometer,w05,41
2013-01-23,afrobarometer,w05,70
2013-01-24,afrobarometer,w05,80
2013-01-25,afrobarometer,w05,79
2013-01-26,afrobarometer,w05,49
2013-01-27,afrobarometer,w05,10
2013-01-28,afrobarometer,w05,50
2013-01-29,afrobarometer,w05,42
2013-01-30,afrobarometer,w05,79
2013-01-31,afrobarometer,w05,40
2013-02-01,afrobarometer,w05,18
2013-02-03,arab-barometer,w03,10
2013-02-19,arab-barometer,w03,55
2013-02-20,arab-barometer,w03,60
2013-02-21,arab-barometer,w03,50
2013-02-22,arab-barometer,w03,65
2013-02-23,arab-barometer,w03,70
2013-02-24,arab-barometer,w03,90
2013-02-25,arab-barometer,w03,90
2013-02-26,arab-barometer,w03,100
2013-02-27,arab-barometer,w03,110
2013-02-28,arab-barometer,w03,100
2013-03-01,arab-barometer,w03,70
2013-03-02,arab-barometer,w03,50
2013-03-03,arab-barometer,w03,20
2013-03-04,arab-barometer,w03,70
2013-03-05,arab-barometer,w03,49
2013-03-06,arab-barometer,w03,40
2013-03-07,arab-barometer,w03,20
2013-03-09,arab-barometer,w03,20
2013-03-10,arab-barometer,w03,10
2013-03-11,arab-barometer,w03,20
2013-03-12,arab-barometer,w03,10
2013-03-16,arab-barometer,w03,10
2013-03-25,arab-barometer,w03,10
2014-08-10,arab-transformations,w2014,7
2014-08-11,arab-transformations,w2014,22
2014-08-12,arab-transformations,w2014,28
2014-08-13,arab-transformations,w2014,17
2014-08-14,arab-transformations,w2014,74
2014-08-15,arab-transformations,w2014,85
2014-08-16,arab-transformations,w2014,38
2014-08-17,arab-transformations,w2014,44
2014-08-18,arab-transformations,w2014,89
2014-08-19,arab-transformations,w2014,74
2014-08-20,arab-transformations,w2014,41
2014-08-21,arab-transformations,w2014,32
2014-08-22,arab-transformations,w2014,39
2014-08-23,arab-transformations,w2014,43
2014-08-24,arab-transformations,w2014,34
2014-08-25,arab-transformations,w2014,42
2014-08-26,arab-transformations,w2014,35
2014-08-27,arab-transformations,w2014,51
2014-08-28,arab-transformations,w2014,68
2014-08-29,arab-transformations,w2014,34
2014-08-30,arab-transformations,w2014,33
2014-08-31,arab-transformations,w2014,17
2014-09-01,arab-transformations,w2014,20
2014-09-02,arab-transformations,w2014,11
2014-09-03,arab-transformations,w2014,22
2014-09-04,arab-transformations,w2014,8
2014-09-05,arab-transformations,w2014,7
2014-09-07,arab-transformations,w2014,4
2014-09-08,arab-transformations,w2014,4
2014-09-09,arab-transformations,w2014,5
2014-09-10,arab-transformations,w2014,1
2014-09-11,arab-transformations,w2014,4
2014-09-12,arab-transformations,w2014,6
2014-09-13,arab-transformations,w2014,1
2014-09-16,arab-transformations,w2014,4
2014-09-17,arab-transformations,w2014,6
2014-09-18,arab-transformations,w2014,61
2014-09-19,arab-transformations,w2014,45
2014-09-20,arab-transformations,w2014,57
2014-09-22,arab-transformations,w2014,1
2014-10-04,arab-transformations,w2014,1
2015-04-14,afrobarometer,w06,1
2015-04-15,afrobarometer,w06,34
2015-04-16,afrobarometer,w06,48
2015-04-17,afrobarometer,w06,57
2015-04-18,afrobarometer,w06,63
2015-04-19,afrobarometer,w06,59
2015-04-20,afrobarometer,w06,56
2015-04-21,afrobarometer,w06,62
2015-04-22,afrobarometer,w06,75
2015-04-23,afrobarometer,w06,20
2015-04-24,afrobarometer,w06,2
2015-04-25,afrobarometer,w06,64
2015-04-26,afrobarometer,w06,67
2015-04-27,afrobarometer,w06,54
2015-04-28,afrobarometer,w06,80
2015-04-29,afrobarometer,w06,85
2015-04-30,afrobarometer,w06,64
2015-05-01,afrobarometer,w06,64
2015-05-02,afrobarometer,w06,79
2015-05-03,afrobarometer,w06,71
2015-05-04,afrobarometer,w06,79
2015-05-05,afrobarometer,w06,8
2015-05-06,afrobarometer,w06,6
2015-05-07,afrobarometer,w06,1
2015-05-09,afrobarometer,w06,1
2015-09-01,sahwa,w2015,4
2015-09-02,sahwa,w2015,8
2015-09-03,sahwa,w2015,40
2015-09-04,sahwa,w2015,35
2015-09-05,sahwa,w2015,54
2015-09-06,sahwa,w2015,55
2015-09-07,sahwa,w2015,55
2015-09-08,sahwa,w2015,48
2015-09-09,sahwa,w2015,70
2015-09-10,sahwa,w2015,43
2015-09-11,sahwa,w2015,53
2015-09-12,sahwa,w2015,45
2015-09-13,sahwa,w2015,35
2015-09-14,sahwa,w2015,31
2015-09-15,sahwa,w2015,58
2015-09-16,sahwa,w2015,46
2015-09-17,sahwa,w2015,59
2015-09-18,sahwa,w2015,64
2015-09-19,sahwa,w2015,43
2015-09-20,sahwa,w2015,51
2015-09-21,sahwa,w2015,62
2015-09-22,sahwa,w2015,34
2015-09-23,sahwa,w2015,54
2015-09-24,sahwa,w2015,56
2015-09-25,sahwa,w2015,55
2015-09-26,sahwa,w2015,40
2015-09-27,sahwa,w2015,71
2015-09-28,sahwa,w2015,38
2015-09-29,sahwa,w2015,34
2015-09-30,sahwa,w2015,28
2015-10-01,sahwa,w2015,65
