date,series,survey,interviews
2015-10-02,sahwa,w2015,64
2015-10-03,sahwa,w2015,33
2015-10-04,sahwa,w2015,55
2015-10-05,sahwa,w2015,32
2015-10-06,sahwa,w2015,38
2015-10-07,sahwa,w2015,26
2015-10-08,sahwa,w2015,25
2015-10-09,sahwa,w2015,35
2015-10-10,sahwa,w2015,25
2015-10-11,sahwa,w2015,32
2015-10-12,sahwa,w2015,37
2015-10-13,sahwa,w2015,35
2015-10-14,sahwa,w2015,28
2015-10-15,sahwa,w2015,7
2015-10-16,sahwa,w2015,33
2015-10-17,sahwa,w2015,25
2015-10-18,sahwa,w2015,11
2015-10-19,sahwa,w2015,10
2015-10-20,sahwa,w2015,15
2018-03-31,afrobarometer,w07,42
2018-04-01,afrobarometer,w07,74
2018-04-02,afrobarometer,w07,46
2018-04-03,afrobarometer,w07,86
2018-04-04,afrobarometer,w07,85
2018-04-05,afrobarometer,w07,75
2018-04-06,afrobarometer,w07,78
2018-04-07,afrobarometer,w07,78
2018-04-08,afrobarometer,w07,71
2018-04-09,afrobarometer,w07,60
2018-04-10,afrobarometer,w07,64
2018-04-11,afrobarometer,w07,51
2018-04-12,afrobarometer,w07,46
2018-04-13,afrobarometer,w07,61
2018-04-14,afrobarometer,w07,54
2018-04-15,afrobarometer,w07,56
2018-04-16,afrobarometer,w07,62
2018-04-17,afrobarometer,w07,60
2018-04-18,afrobarometer,w07,18
2018-04-19,afrobarometer,w07,9
2018-04-27,afrobarometer,w07,2
2018-04-28,afrobarometer,w07,4
2018-04-29,afrobarometer,w07,5
2018-04-30,afrobarometer,w07,3
2018-05-01,afrobarometer,w07,4
2018-05-02,afrobarometer,w07,1
2018-05-03,afrobarometer,w07,2
2018-05-06,afrobarometer,w07,1
2018-05-07,afrobarometer,w07,1
2019-04-26,world-values-survey,w07,31
2019-04-27,world-values-survey,w07,38
2019-04-28,world-values-survey,w07,28
2019-04-29,world-values-survey,w07,51
2019-04-30,world-values-survey,w07,57
2019-05-01,world-values-survey,w07,94
2019-05-02,world-values-survey,w07,52
2019-05-03,world-values-survey,w07,52
2019-05-04,world-values-survey,w07,38
2019-05-05,world-values-survey,w07,94
2019-05-06,world-values-survey,w07,52
2019-05-07,world-values-survey,w07,22
2019-05-08,world-values-survey,w07,54
2019-05-09,world-values-survey,w07,43
2019-05-10,world-values-survey,w07,54
2019-05-11,world-values-survey,w07,57
2019-05-12,world-values-survey,w07,69
2019-05-13,world-values-survey,w07,56
2019-05-14,world-values-survey,w07,44
2019-05-15,world-values-survey,w07,39
2019-05-16,world-values-survey,w07,32
2019-05-17,world-values-survey,w07,54
2019-05-18,world-values-survey,w07,59
2019-05-19,world-values-survey,w07,37
2019-05-20,world-values-survey,w07,1
2020-02-24,afrobarometer,w08,34
2020-02-25,afrobarometer,w08,17
2020-02-26,afrobarometer,w08,44
2020-02-27,afrobarometer,w08,39
2020-02-28,afrobarometer,w08,46
2020-02-29,afrobarometer,w08,63
2020-03-01,afrobarometer,w08,61
2020-03-02,afrobarometer,w08,68
2020-03-03,afrobarometer,w08,65
2020-03-04,afrobarometer,w08,66
2020-03-05,afrobarometer,w08,68
2020-03-06,afrobarometer,w08,62
2020-03-07,afrobarometer,w08,61
2020-03-08,afrobarometer,w08,35
2020-03-09,afrobarometer,w08,65
2020-03-10,afrobarometer,w08,58
2020-03-11,afrobarometer,w08,57
2020-03-12,afrobarometer,w08,70
2020-03-13,afrobarometer,w08,72
2020-03-14,afrobarometer,w08,67
2020-03-15,afrobarometer,w08,43
2020-03-16,afrobarometer,w08,20
2020-03-17,afrobarometer,w08,18
2020-03-18,afrobarometer,w08,1
2020-07-24,arab-barometer,w06p1,242
2020-07-25,arab-barometer,w06p1,240
2020-07-26,arab-barometer,w06p1,260
2020-07-27,arab-barometer,w06p1,180
2020-07-28,arab-barometer,w06p1,83
2020-10-06,arab-barometer,w06p2,38
2020-10-07,arab-barometer,w06p2,139
2020-10-08,arab-barometer,w06p2,74
2020-10-09,arab-barometer,w06p2,53
2020-10-10,arab-barometer,w06p2,94
2020-10-11,arab-barometer,w06p2,146
2020-10-12,arab-barometer,w06p2,143
2020-10-13,arab-barometer,w06p2,141
2020-10-14,arab-barometer,w06p2,81
2020-10-15,arab-barometer,w06p2,93
2021-03-06,arab-barometer,w06p3,58
2021-03-07,arab-barometer,w06p3,136
2021-03-09,arab-barometer,w06p3,119
2021-03-10,arab-barometer,w06p3,182
2021-03-13,arab-barometer,w06p3,199
2021-03-14,arab-barometer,w06p3,119
2021-03-16,arab-barometer,w06p3,387
2021-10-01,arab-barometer,w07,21
2021-10-02,arab-barometer,w07,31
2021-10-03,arab-barometer,w07,54
2021-10-04,arab-barometer,w07,59
2021-10-05,arab-barometer,w07,68
2021-10-06,arab-barometer,w07,57
2021-10-07,arab-barometer,w07,58
2021-10-08,arab-barometer,w07,53
2021-10-09,arab-barometer,w07,53
2021-10-10,arab-barometer,w07,65
2021-10-11,arab-barometer,w07,53
2021-10-12,arab-barometer,w07,67
2021-10-13,arab-barometer,w07,61
2021-10-14,arab-barometer,w07,47
2021-10-15,arab-barometer,w07,86
2021-10-16,arab-barometer,w07,71
2021-10-17,arab-barometer,w07,80
2021-10-18,arab-barometer,w07,21
2021-10-19,arab-barometer,w07,74
2021-10-20,arab-barometer,w07,56
2021-10-21,arab-barometer,w07,64
2021-10-22,arab-barometer,w07,49
2021-10-23,arab-barometer,w07,60
2021-10-24,arab-barometer,w07,55
2021-10-25,arab-barometer,w07,29
2021-10-26,arab-barometer,w07,63
2021-10-27,arab-barometer,w07,63
2021-10-28,arab-barometer,w07,59
2021-10-29,arab-barometer,w07,67
2021-10-30,arab-barometer,w07,64
2021-10-31,arab-barometer,w07,60
2021-11-01,arab-barometer,w07,58
2021-11-02,arab-barometer,w07,13
2021-11-03,arab-barometer,w07,23
2021-11-04,arab-barometer,w07,48
2021-11-05,arab-barometer,w07,48
2021-11-06,arab-barometer,w07,33
2021-11-07,arab-barometer,w07,28
2021-11-08,arab-barometer,w07,43
2021-11-09,arab-barometer,w07,37
2021-11-10,arab-barometer,w07,44
2021-11-11,arab-barometer,w07,43
2021-11-12,arab-barometer,w07,46
2021-11-13,arab-barometer,w07,45
2021-11-14,arab-barometer,w07,42
2021-11-15,arab-barometer,w07,38
2021-11-16,arab-barometer,w07,18
2021-11-17,arab-barometer,w07,14
2021-11-19,arab-barometer,w07,4
2021-11-20,arab-barometer,w07,7
2022-02-21,afrobarometer,w09,25
2022-02-22,afrobarometer,w09,43
2022-02-23,afrobarometer,w09,43
2022-02-24,afrobarometer,w09,44
2022-02-25,afrobarometer,w09,59
2022-02-26,afrobarometer,w09,63
2022-02-27,afrobarometer,w09,60
2022-02-28,afrobarometer,w09,47
2022-03-01,afrobarometer,w09,42
2022-03-02,afrobarometer,w09,49
2022-03-03,afrobarometer,w09,60
2022-03-04,afrobarometer,w09,75
2022-03-05,afrobarometer,w09,33
2022-03-06,afrobarometer,w09,68
2022-03-07,afrobarometer,w09,73
2022-03-08,afrobarometer,w09,66
2022-03-09,afrobarometer,w09,72
2022-03-10,afrobarometer,w09,72
2022-03-11,afrobarometer,w09,55
2022-03-12,afrobarometer,w09,72
2022-03-13,afrobarometer,w09,64
2022-03-15,afrobarometer,w09,5
2022-03-16,afrobarometer,w09,9
2022-03-17,afrobarometer,w09,1
2022-10-26,ebrd-life-in-transition,w04,7
2022-10-27,ebrd-life-in-transition,w04,18
2022-10-28,ebrd-life-in-transition,w04,27
2022-10-29,ebrd-life-in-transition,w04,32
2022-10-30,ebrd-life-in-transition,w04,24
2022-10-31,ebrd-life-in-transition,w04,7
2022-11-01,ebrd-life-in-transition,w04,27
2022-11-02,ebrd-life-in-transition,w04,29
2022-11-03,ebrd-life-in-transition,w04,30
2022-11-04,ebrd-life-in-transition,w04,22
2022-11-05,ebrd-life-in-transition,w04,8
2022-11-06,ebrd-life-in-transition,w04,12
2022-11-07,ebrd-life-in-transition,w04,20
2022-11-08,ebrd-life-in-transition,w04,28
2022-11-09,ebrd-life-in-transition,w04,3
2022-11-11,ebrd-life-in-transition,w04,14
2022-11-12,ebrd-life-in-transition,w04,35
2022-11-13,ebrd-life-in-transition,w04,27
2022-11-14,ebrd-life-in-transition,w04,24
2022-11-15,ebrd-life-in-transition,w04,25
2022-11-17,ebrd-life-in-transition,w04,4
2022-11-18,ebrd-life-in-transition,w04,5
2022-11-19,ebrd-life-in-transition,w04,7
2022-11-20,ebrd-life-in-transition,w04,5
2022-11-21,ebrd-life-in-transition,w04,4
2022-11-22,ebrd-life-in-transition,w04,8
2022-11-23,ebrd-life-in-transition,w04,21
2022-11-24,ebrd-life-in-transition,w04,23
2022-11-25,ebrd-life-in-transition,w04,27
2022-11-26,ebrd-life-in-transition,w04,7
2022-11-27,ebrd-life-in-transition,w04,18
2022-11-29,ebrd-life-in-transition,w04,9
2022-11-30,ebrd-life-in-transition,w04,9
2022-12-01,ebrd-life-in-transition,w04,31
2022-12-02,ebrd-life-in-transition,w04,34
2022-12-03,ebrd-life-in-transition,w04,18
2022-12-04,ebrd-life-in-transition,w04,10
2022-12-05,ebrd-life-in-transition,w04,7
2022-12-06,ebrd-life-in-transition,w04,26
2022-12-07,ebrd-life-in-transition,w04,28
2022-12-08,ebrd-life-in-transition,w04,26
2022-12-09,ebrd-life-in-transition,w04,14
2022-12-10,ebrd-life-in-transition,w04,13
2022-12-11,ebrd-life-in-transition,w04,14
2022-12-12,ebrd-life-in-transition,w04,21
2022-12-13,ebrd-life-in-transition,w04,23
2022-12-14,ebrd-life-in-transition,w04,19
2022-12-15,ebrd-life-in-transition,w04,9
2022-12-16,ebrd-life-in-transition,w04,15
2022-12-17,ebrd-life-in-transition,w04,15
2022-12-18,ebrd-life-in-transition,w04,4
2022-12-19,ebrd-life-in-transition,w04,20
2022-12-20,ebrd-life-in-transition,w04,11
2022-12-21,ebrd-life-in-transition,w04,7
2022-12-22,ebrd-life-in-transition,w04,2
2022-12-23,ebrd-life-in-transition,w04,4
2022-12-24,ebrd-life-in-transition,w04,13
2022-12-25,ebrd-life-in-transition,w04,12
2022-12-26,ebrd-life-in-transition,w04,10
2022-12-27,ebrd-life-in-transition,w04,11
2022-12-29,ebrd-life-in-transition,w04,3
2022-12-30,ebrd-life-in-transition,w04,1
2023-01-03,ebrd-life-in-transition,w04,4
2023-01-04,ebrd-life-in-transition,w04,12
2023-01-05,ebrd-life-in-transition,w04,6
2023-01-06,ebrd-life-in-transition,w04,4
2023-01-07,ebrd-life-in-transition,w04,3
2023-01-09,ebrd-life-in-transition,w04,3
2023-01-11,ebrd-life-in-transition,w04,3
2023-01-12,ebrd-life-in-transition,w04,2
2023-01-13,ebrd-life-in-transition,w04,6
2023-02-04,ebrd-life-in-transition,w04,3
2023-02-11,ebrd-life-in-transition,w04,1
2023-02-13,ebrd-life-in-transition,w04,1
2023-02-14,ebrd-life-in-transition,w04,1
2023-09-13,arab-barometer,w08,4
2023-09-14,arab-barometer,w08,21
2023-09-15,arab-barometer,w08,23
2023-09-16,arab-barometer,w08,17
2023-09-17,arab-barometer,w08,31
2023-09-18,arab-barometer,w08,30
2023-09-19,arab-barometer,w08,37
2023-09-20,arab-barometer,w08,47
2023-09-21,arab-barometer,w08,54
2023-09-22,arab-barometer,w08,50
2023-09-23,arab-barometer,w08,64
2023-09-24,arab-barometer,w08,60
2023-09-25,arab-barometer,w08,47
2023-09-26,arab-barometer,w08,56
2023-09-27,arab-barometer,w08,37
2023-09-28,arab-barometer,w08,64
2023-09-29,arab-barometer,w08,68
2023-09-30,arab-barometer,w08,66
2023-10-01,arab-barometer,w08,60
2023-10-02,arab-barometer,w08,54
2023-10-03,arab-barometer,w08,68
2023-10-04,arab-barometer,w08,69
2023-10-05,arab-barometer,w08,57
2023-10-06,arab-barometer,w08,62
2023-10-07,arab-barometer,w08,73
2023-10-08,arab-barometer,w08,66
2023-10-09,arab-barometer,w08,73
2023-10-10,arab-barometer,w08,67
2023-10-11,arab-barometer,w08,58
2023-10-12,arab-barometer,w08,79
2023-10-13,arab-barometer,w08,66
2023-10-14,arab-barometer,w08,67
2023-10-15,arab-barometer,w08,50
2023-10-16,arab-barometer,w08,46
2023-10-17,arab-barometer,w08,60
2023-10-18,arab-barometer,w08,57
2023-10-19,arab-barometer,w08,71
2023-10-20,arab-barometer,w08,59
2023-10-21,arab-barometer,w08,47
2023-10-22,arab-barometer,w08,55
2023-10-23,arab-barometer,w08,45
2023-10-24,arab-barometer,w08,35
2023-10-25,arab-barometer,w08,38
2023-10-26,arab-barometer,w08,41
2023-10-27,arab-barometer,w08,22
2023-10-28,arab-barometer,w08,14
2023-10-29,arab-barometer,w08,11
2023-10-30,arab-barometer,w08,15
2023-10-31,arab-barometer,w08,10
2023-11-01,arab-barometer,w08,16
2023-11-02,arab-barometer,w08,16
2023-11-03,arab-barometer,w08,2
2023-11-04,arab-barometer,w08,1
2024-02-25,afrobarometer,w10,24
2024-02-26,afrobarometer,w10,56
2024-02-27,afrobarometer,w10,82
2024-02-28,afrobarometer,w10,76
2024-02-29,afrobarometer,w10,72
2024-03-01,afrobarometer,w10,68
2024-03-02,afrobarometer,w10,92
2024-03-03,afrobarometer,w10,87
2024-03-04,afrobarometer,w10,89
2024-03-05,afrobarometer,w10,84
2024-03-06,afrobarometer,w10,89
2024-03-07,afrobarometer,w10,102
2024-03-08,afrobarometer,w10,85
2024-03-09,afrobarometer,w10,97
2024-03-10,afrobarometer,w10,92
2024-03-11,afrobarometer,w10,5
