position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,min,max
1,qid,,int64,1200,0,1200,,,210001.0,211200.0
2,country,,str,1200,0,1,,"[""Tunisia""]",,
3,sample,,str,0,1200,0,,,,
4,stratum,,int64,1200,0,46,,,21001.0,21046.0
5,psu,,int64,1200,0,150,,,21001.0,21150.0
6,wt,,float64,1199,1,20,,,0.764038964239971,1.394396358407306
7,a1,,str,0,1200,0,,,,
8,q1,,str,1200,0,24,,"[""Ariana"", ""Beja"", ""Ben Arous"", ""Bizerte"", ""Gabes"", ""Gafsa"", ""Jendouba"", ""Kairouan"", ""Kasserine"", ""Kebili"", ""Kef"", ""Mahdia"", ""Manouba"", ""Mednine"", ""Monastir"", ""Nabeul"", ""Seliana"", ""Sfax"", ""Sidi Bouzid"", ""Sousse"", ""Tatouine"", ""Tozeur"", ""Tunis"", ""Zaghouan""]",,
9,q2,,str,1200,0,136,,,,
10,q13,,str,1200,0,2,,"[""Rural"", ""Urban""]",,
11,q101,,str,1200,0,5,,"[""Bad"", ""Don't know (Do not read)"", ""Good"", ""Very bad"", ""Very good""]",,
12,q101a,,str,1200,0,6,,"[""Almost the same as the current situation"", ""Don't know (Do not read)"", ""Much better"", ""Much worse"", ""Somewhat better"", ""Somewhat worse""]",,
13,q102,,str,1200,0,7,,"[""Almost the same as the current situation"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Much better"", ""Much worse"", ""Somewhat better"", ""Somewhat worse""]",,
14,q102b,,str,1200,0,6,,"[""Bad"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Good"", ""Very bad"", ""Very good""]",,
15,q103,,str,1200,0,4,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Most people are not trustworthy"", ""Most people are trustworthy""]",,
16,q103a1,,str,1200,0,6,,"[""Don't know (Do not read)"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Somewhat disagree"", ""Strongly agree"", ""Strongly disagree""]",,
17,q103a2,,str,1200,0,7,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Somewhat disagree"", ""Strongly agree"", ""Strongly disagree""]",,
18,q103a3,,str,1200,0,7,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Somewhat disagree"", ""Strongly agree"", ""Strongly disagree""]",,
19,q103a4,,str,1200,0,6,,"[""Don't know (Do not read)"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Somewhat disagree"", ""Strongly agree"", ""Strongly disagree""]",,
20,q103a5,,str,1200,0,6,,"[""Don't know (Do not read)"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Somewhat disagree"", ""Strongly agree"", ""Strongly disagree""]",,
21,q103a6,,str,1200,0,5,,"[""Neither agree nor disagree"", ""Somewhat agree"", ""Somewhat disagree"", ""Strongly agree"", ""Strongly disagree""]",,
22,q104,,str,1200,0,2,,"[""No"", ""Yes""]",,
23,q104a,,str,269,931,5,,"[""Decline to answer (Do not read)"", ""For economic and political reasons"", ""For economic reasons"", ""For other reasons"", ""For political reasons""]",,
24,q104aother,,str,31,1169,11,,"[""Education"", ""I just want to leave"", ""I want to visit other countries"", ""Peace of mind"", ""Religious considerations"", ""Security"", ""Social reasons"", ""The situation in Tunisia is very bad"", ""To be with family"", ""To discover other cultures"", ""To marry a foreign spouse""]",,
25,q104ksa,,str,269,931,2,,"[""Mentioned"", ""Not mentioned""]",,
26,q104gcc,,str,269,931,2,,"[""Mentioned"", ""Not mentioned""]",,
27,q104arab,,str,269,931,2,,"[""Mentioned"", ""Not mentioned""]",,
28,q104eur,,str,269,931,2,,"[""Mentioned"", ""Not mentioned""]",,
29,q104us,,str,269,931,2,,"[""Mentioned"", ""Not mentioned""]",,
30,q104other,,str,269,931,10,,"[""All the world"", ""Angola"", ""Argentina"", ""Australia"", ""East Asia (Singapore, Malaysia, Korea)"", ""India"", ""Japan"", ""Malaysia"", ""Not mentioned"", ""Turkey""]",,
31,q105,,str,1200,0,6,,"[""Absolutely not ensured"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Ensured"", ""Fully ensured"", ""Not ensured""]",,
32,q106,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not treated equally at all"", ""To a great extent"", ""To a limited extent"", ""To a medium extent""]",,
33,q1071,,str,1200,0,6,,"[""Don't know (Do not read)"", ""Much"", ""Not applicable"", ""Not at all"", ""Not much"", ""Very much""]",,
34,q1072,,str,1200,0,6,,"[""Don't know (Do not read)"", ""Much"", ""Not applicable"", ""Not at all"", ""Not much"", ""Very much""]",,
35,q1074,,str,1200,0,5,,"[""Much"", ""Not applicable"", ""Not at all"", ""Not much"", ""Very much""]",,
36,q2011,,str,1200,0,6,,"[""A great deal of trust"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No trust at all"", ""Not very much trust"", ""Quite a lot of trust""]",,
37,q2012,,str,1200,0,6,,"[""A great deal of trust"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No trust at all"", ""Not very much trust"", ""Quite a lot of trust""]",,
38,q2013,,str,1200,0,6,,"[""A great deal of trust"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No trust at all"", ""Not very much trust"", ""Quite a lot of trust""]",,
39,q2014,,str,1200,0,6,,"[""A great deal of trust"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No trust at all"", ""Not very much trust"", ""Quite a lot of trust""]",,
40,q2015,,str,0,1200,0,,,,
41,q2016,,str,1200,0,6,,"[""A great deal of trust"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No trust at all"", ""Not very much trust"", ""Quite a lot of trust""]",,
42,q20112,,str,1200,0,6,,"[""A great deal of trust"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No trust at all"", ""Not very much trust"", ""Quite a lot of trust""]",,
43,q20113,,str,1200,0,6,,"[""A great deal of trust"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No trust at all"", ""Not very much trust"", ""Quite a lot of trust""]",,
44,q20120,,str,1200,0,6,,"[""A great deal of trust"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No trust at all"", ""Not very much trust"", ""Quite a lot of trust""]",,
45,q201a1,,str,0,1200,0,,,,
46,q201a2,,str,0,1200,0,,,,
47,q201a3,,str,0,1200,0,,,,
48,q201a4,,str,0,1200,0,,,,
49,q202,,str,1200,0,5,,"[""Don't know (Do not read)"", ""No"", ""No, definitely not"", ""Yes"", ""Yes, definitely""]",,
50,q204a1,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Definitely dissatisfied"", ""Definitely satisfied"", ""Dissatisfied"", ""Don't know (Do not read)"", ""Satisfied""]",,
51,q204a2,,str,1200,0,5,,"[""Definitely dissatisfied"", ""Definitely satisfied"", ""Dissatisfied"", ""Don't know (Do not read)"", ""Satisfied""]",,
52,q2041,,str,1200,0,6,,"[""Bad"", ""Don't know (Do not read)"", ""Good"", ""This is not the government’s responsibility (Do not read)"", ""Very bad"", ""Very good""]",,
53,q2042,,str,1200,0,6,,"[""Bad"", ""Don't know (Do not read)"", ""Good"", ""This is not the government’s responsibility (Do not read)"", ""Very bad"", ""Very good""]",,
54,q2043,,str,1200,0,7,,"[""Bad"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Good"", ""This is not the government’s responsibility (Do not read)"", ""Very bad"", ""Very good""]",,
55,q2044,,str,1200,0,6,,"[""Bad"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Good"", ""Very bad"", ""Very good""]",,
56,q20420,,str,1200,0,6,,"[""Bad"", ""Don't know (Do not read)"", ""Good"", ""This is not the government’s responsibility (Do not read)"", ""Very bad"", ""Very good""]",,
57,q20421,,str,1200,0,6,,"[""Bad"", ""Don't know (Do not read)"", ""Good"", ""This is not the government’s responsibility (Do not read)"", ""Very bad"", ""Very good""]",,
58,q20422,,str,1200,0,7,,"[""Bad"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Good"", ""This is not the government’s responsibility (Do not read)"", ""Very bad"", ""Very good""]",,
59,q2061,,str,1200,0,9,,"[""Decline to answer (Do not read)"", ""Democracy"", ""Don't know (Do not read)"", ""Economic situation (poverty; unemployment, inflation)"", ""Financial and administrative corruption"", ""Foreign interference"", ""Internal stability and security"", ""Other"", ""Religious extremism""]",,
60,q2061other,,str,59,1141,7,,"[""Building greater confidence between the citizen and the government"", ""Education"", ""ISIS"", ""Pollution"", ""Reforming society"", ""Taking Control of our natural resources"", ""Terrorism""]",,
61,q2062,,str,1191,9,8,,"[""Democracy"", ""Don't know (Do not read)"", ""Economic situation (poverty; unemployment, inflation)"", ""Financial and administrative corruption"", ""Foreign interference"", ""Internal stability and security"", ""Other"", ""Religious extremism""]",,
62,q2062other,,str,34,1166,9,,"[""Building greater confidence between the citizen and the government"", ""Civil war in Tunisia"", ""Education"", ""Health care"", ""Lack of religious principles"", ""Libya"", ""Nothing else"", ""Terrorism"", ""The political conflict in Tunisia""]",,
63,q210,,str,1200,0,5,,"[""Don't know (Do not read)"", ""Not at all"", ""To a large extent"", ""To a medium extent"", ""To a small extent""]",,
64,q211,,str,1177,23,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not at all"", ""To a large extent"", ""To a medium extent"", ""To a small extent""]",,
65,q213,,str,1200,0,5,,"[""Don't know (Do not read)"", ""Employment is mostly obtained without connections"", ""Employment is sometimes obtained through connections"", ""I do not know of any relevant experiences"", ""Obtaining employment through connections is extremely widespread""]",,
66,q214,,str,1200,0,3,,"[""Don't know (Do not read)"", ""No"", ""Yes""]",,
67,q216,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
68,q217,,str,1200,0,4,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No"", ""Yes""]",,
69,q2181,,str,1200,0,5,,"[""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
70,q2182,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
71,q2185,,str,1200,0,5,,"[""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
72,q261a1,,str,1200,0,10,,"[""2"", ""3"", ""4"", ""5"", ""6"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Intelligent"", ""Not concerned/not interested"", ""Unintelligent""]",,
73,q261a2,,str,1200,0,10,,"[""2"", ""3"", ""4"", ""5"", ""6"", ""Decline to answer (Do not read)"", ""Dishonest"", ""Don't know (Do not read)"", ""Honest"", ""Not concerned/not interested""]",,
74,q261b1,,str,1200,0,10,,"[""2"", ""3"", ""4"", ""5"", ""6"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Intelligent"", ""Not concerned/not interested"", ""Unintelligent""]",,
75,q261b2,,str,1200,0,10,,"[""2"", ""3"", ""4"", ""5"", ""6"", ""Decline to answer (Do not read)"", ""Dishonest"", ""Don't know (Do not read)"", ""Honest"", ""Not concerned/not interested""]",,
76,q263,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I prefer helping the poor, but if this costs nothing to me"", ""I prefer helping the poor, even at a large personal cost"", ""I prefer helping the poor, even at a small personal cost"", ""I prefer not helping the poor""]",,
77,q264,,str,1188,12,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I want to help the poor because I enjoy making those more unfortunate happy"", ""I want to help the poor because I know God will reward me for it in the hereafter"", ""I want to help the poor because I want to make my country and my community better"", ""I want to help the poor because it makes me sad to see people suffer""]",,
78,q265,,str,1200,0,6,,"[""Agree with Statement 1"", ""Agree with both Statements (Do not read)"", ""Agree with neither statement (Do not read)"", ""Agree with statement 2"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)""]",,
79,q301,,str,1200,0,4,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No"", ""Yes""]",,
80,q302,,str,1200,0,2,,"[""No"", ""Yes""]",,
81,q303,,str,1200,0,6,,"[""Completely free and fair"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Free and fair, but with minor problems"", ""Free and fair, with major problems"", ""Not free or fair""]",,
82,q403,,str,1200,0,4,,"[""Don't know (Do not read)"", ""Have not tried (Do not read)"", ""No"", ""Yes""]",,
83,q404,,str,1200,0,5,,"[""Don't know (Do not read)"", ""Interested"", ""Not interested at all"", ""Somewhat interested"", ""Very interested""]",,
84,q4061,,str,1200,0,6,,"[""A number of times a month"", ""A number of times a week"", ""Daily"", ""Don't know (Do not read)"", ""I don’t follow it ever"", ""Rarely""]",,
85,q4062,,str,1200,0,6,,"[""A number of times a month"", ""A number of times a week"", ""Daily"", ""Don't know (Do not read)"", ""I don’t follow it ever"", ""Rarely""]",,
86,q409,,str,1200,0,7,,"[""Daily"", ""Don't know (Do not read)"", ""I am online almost all day"", ""I do not use the internet "", ""Less than once a week"", ""Once a week"", ""Several times a week""]",,
87,q4101,,str,528,672,2,,"[""No"", ""Yes""]",,
88,q4102,,str,528,672,2,,"[""No"", ""Yes""]",,
89,q4113,,str,528,672,2,,"[""No"", ""Yes""]",,
90,q4114,,str,528,672,2,,"[""No"", ""Yes""]",,
91,q4116,,str,528,672,2,,"[""No"", ""Yes""]",,
92,q501,,str,1200,0,3,,"[""Don't know (Do not read)"", ""No"", ""Yes""]",,
93,q501b,,str,1200,0,3,,"[""Don't know (Do not read)"", ""No"", ""Yes""]",,
94,q501c,,str,26,1174,10,,"[""Decline to answer (Do not read)"", ""Ennahdha"", ""Haraket Chaab"", ""Haraket El Tounsi"", ""Jabha"", ""Moubedra"", ""Nidaa Tounes"", ""Takatol"", ""Tayar Mahaba"", ""UPL""]",,
95,q5021,,str,1200,0,4,,"[""Don't know (Do not read)"", ""I have never participated"", ""More than once"", ""Once""]",,
