position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,sentinel_codes,min,max
1,studyno,archive study number,int64,1005,0,1,"{""6289"": ""GESIS STUDY ID ZA6289""}",,,6289.0,6289.0
2,doi,digital object identifier,str,1005,0,1,,"[""doi:10.4232/1.12412""]",,,
3,version,gesis archive version & date,str,1005,0,1,,"[""1.0.0 (2016-01-06)""]",,,
4,edition,dataset edition,int64,1005,0,1,"{""1"": ""Archive release""}",,,1.0,1.0
5,survey,survey identification,int64,1005,0,1,"{""1"": ""EU Neighbourhood Barometer Wave 2 (November-December 2012)""}",,,1.0,1.0
6,caseid,tns case id,int64,1005,0,1005,,,,1.0,1005.0
7,uniqid,unique respondent id (caseid by tns country code),int64,1005,0,1005,,,,14000001.0,14001005.0
8,serialid,serial case id (appointed by the archive),int64,1005,0,1005,,,,14082.0,15086.0
9,tnscntry,original tns country identification,int64,1005,0,1,"{""1"": ""Algeria"", ""2"": ""Armenia"", ""3"": ""Azerbaijan"", ""4"": ""Egypt"", ""5"": ""Georgia"", ""6"": ""Israel"", ""7"": ""Jordan"", ""8"": ""Lebanon"", ""9"": ""Moldova"", ""10"": ""Morocco"", ""11"": ""Palestinian Territories"", ""12"": ""Russia"", ""13"": ""Belarus"", ""14"": ""Tunisia"", ""15"": ""Ukraine"", ""16"": ""Libya""}",,,14.0,14.0
10,country,country id (series standard),int64,1005,0,1,"{""1"": ""Morocco"", ""2"": ""Algeria"", ""3"": ""Tunisia"", ""4"": ""Libya"", ""5"": ""Egypt"", ""6"": ""Israel"", ""7"": ""Jordan"", ""8"": ""Lebanon"", ""9"": ""Palestinian Territories"", ""10"": ""Syria (NOT SURVEYED)"", ""11"": ""Armenia"", ""12"": ""Azerbaijan"", ""13"": ""Georgia"", ""14"": ""Moldova"", ""15"": ""Ukraine"", ""16"": ""Belarus"", ""17"": ""Russia""}",,,3.0,3.0
11,isocntry,country code - iso 3166,str,1005,0,1,,"[""TN""]",,,
12,w1,demographic country weight (redressment),float64,1005,0,163,,,,0.87443,1.155529
13,w2,population size weight - south,float64,1005,0,1,,,,1.381322,1.381322
14,w3,population size weight - east (except russia),float64,1005,0,1,,,,0.0,0.0
15,w4,population size weight - total (except russia),float64,1005,0,1,,,,1.193251,1.193251
16,w5,population size weight - maghreb,float64,1005,0,1,,,,1.507674,1.507674
17,w6,population size weight - mashrek (except egypt),float64,1005,0,1,,,,0.0,0.0
18,aa1,life satisfaction,int64,1005,0,5,"{""1"": ""Very satisfied"", ""2"": ""Fairly satisfied"", ""3"": ""Not very satisfied"", ""4"": ""Not at all satisfied"", ""5"": ""Don’t know (SPONTANEOUS)""}",,,1.0,5.0
19,aa2_1,political discussion: international matters,int64,1005,0,4,"{""1"": ""Frequently"", ""2"": ""Occasionally"", ""3"": ""Never"", ""4"": ""Don’t know (SPONTANEOUS)""}",,,1.0,4.0
20,aa2_2,political discussion: national matters,int64,1005,0,4,"{""1"": ""Frequently"", ""2"": ""Occasionally"", ""3"": ""Never"", ""4"": ""Don’t know (SPONTANEOUS)""}",,,1.0,4.0
21,aa2_3,political discussion: local matters,int64,1005,0,4,"{""1"": ""Frequently"", ""2"": ""Occasionally"", ""3"": ""Never"", ""4"": ""Don’t know (SPONTANEOUS)""}",,,1.0,4.0
22,polintr,political interest index,int64,1005,0,4,"{""1"": ""Strong (see study description remarks)"", ""2"": ""Average (see study description remarks)"", ""3"": ""Low (see study description remarks)"", ""4"": ""Not at all (see study description remarks)""}",,,1.0,4.0
23,aa3,persuade friends of own strong opinion,int64,1005,0,5,"{""1"": ""Often"", ""2"": ""From time to time"", ""3"": ""Rarely"", ""4"": ""Never"", ""5"": ""Don’t know (SPONTANEOUS)""}",,,1.0,5.0
24,opls,opinion leadership index,int64,1005,0,4,"{""1"": ""++ high (1 for aa3 and 1 or 2 for polintr; or 2 for aa3 and 1 for polintr)"", ""2"": ""+ (1 for aa3 and 3 or 4 for polintr; or 2 for aa3 and 2 to 4 for polintr; or 3 for aa3 and 1 for polintr)"", ""3"": ""- (3 for aa3 and 2 to 4 for polintr; or 4 for aa3 and 1 for polintr)"", ""4"": ""- - low (4 for aa3 and 2 to 4 for polintr; or 5 for aa3 and 1 to 4 for polintr)""}",,,1.0,4.0
25,bb1a,important values - firstly,int64,1005,0,21,"{""1"": ""Solidarity, support for others"", ""2"": ""Freedom of speech"", ""3"": ""Honesty"", ""4"": ""Freedom of religion"", ""5"": ""Rule of Law, transparency"", ""6"": ""Human Rights"", ""7"": ""Individual freedom"", ""8"": ""Tolerance"", ""9"": ""Respect for human life"", ""10"": ""Democracy"", ""11"": ""Peace and security"", ""12"": ""Absence of corruption"", ""13"": ""Respect for other cultures"", ""14"": ""Self-fulfilment"", ""15"": ""Equality"", ""16"": ""Freedom of the media"", ""17"": ""Equality between men and women"", ""18"": ""Economic prosperity"", ""19"": ""Other (SPONTANEOUS)"", ""20"": ""None (SPONTANEOUS)"", ""21"": ""Don’t Know (SPONTANEOUS)""}",,,1.0,21.0
26,bb1b_1,important values: solidarity / support for others,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
27,bb1b_2,important values: freedom of speech,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
28,bb1b_3,important values: honesty,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
29,bb1b_4,important values: freedom of religion,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
30,bb1b_5,important values: rule of law / transparency,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
31,bb1b_6,important values: human rights,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
32,bb1b_7,important values: individual freedom,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
33,bb1b_8,important values: tolerance,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
34,bb1b_9,important values: respect for human life,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
35,bb1b_10,important values: democracy,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
36,bb1b_11,important values: peace and security,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
37,bb1b_12,important values: absence of corruption,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
38,bb1b_13,important values: respect for other cultures,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
39,bb1b_14,important values: self-fulfilment,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
40,bb1b_15,important values: equality,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
41,bb1b_16,important values: freedom of the media,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
42,bb1b_17,important values: gender equality,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
43,bb1b_18,important values: economic prosperity,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
44,bb1b_19,important values: other,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
45,bb1b_20,important values: none,object,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
46,bb1b_21,important values: dont know,object,1005,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 20 or 21 in bb1a)""}",,,,
47,bb1t_1,important values: solidarity / support for others (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
48,bb1t_2,important values: freedom of speech (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
49,bb1t_3,important values: honesty (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
50,bb1t_4,important values: freedom of religion (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
51,bb1t_5,important values: rule of law / transparency (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
52,bb1t_6,important values: human rights (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
53,bb1t_7,important values: individual freedom (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
54,bb1t_8,important values: tolerance (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
55,bb1t_9,important values: respect for human life (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
56,bb1t_10,important values: democracy (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
57,bb1t_11,important values: peace and security (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
58,bb1t_12,important values: absence of corruption (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
59,bb1t_13,important values: respect for other cultures (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
60,bb1t_14,important values: self-fulfilment (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
61,bb1t_15,important values: equality (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
62,bb1t_16,important values: freedom of the media (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
63,bb1t_17,important values: gender equality (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
64,bb1t_18,important values: economic prosperity (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
65,bb1t_19,important values: other (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
66,bb1t_20,important values: none (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
67,bb1t_21,important values: dont know (total),int64,1005,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
68,aa4_1,assessment: economic situation in country,int64,1005,0,5,"{""1"": ""Very good"", ""2"": ""Rather good"", ""3"": ""Rather bad"", ""4"": ""Very bad"", ""5"": ""Don’t know (SPONTANEOUS)""}",,,1.0,5.0
69,aa4_2,assessment: situation of the economy in the world,int64,1005,0,5,"{""1"": ""Very good"", ""2"": ""Rather good"", ""3"": ""Rather bad"", ""4"": ""Very bad"", ""5"": ""Don’t know (SPONTANEOUS)""}",,,1.0,5.0
70,aa4_3,assessment: personal job situation,int64,1005,0,5,"{""1"": ""Very good"", ""2"": ""Rather good"", ""3"": ""Rather bad"", ""4"": ""Very bad"", ""5"": ""Don’t know (SPONTANEOUS)""}",,,1.0,5.0
71,aa4_4,assessment: financial situation of your household,int64,1005,0,5,"{""1"": ""Very good"", ""2"": ""Rather good"", ""3"": ""Rather bad"", ""4"": ""Very bad"", ""5"": ""Don’t know (SPONTANEOUS)""}",,,1.0,5.0
72,aa5_1,expectations: economic situation in country,int64,1005,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don’t know (SPONTANEOUS)""}",,,1.0,4.0
73,aa5_2,expectations: your personal job situation,int64,1005,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don’t know (SPONTANEOUS)""}",,,1.0,4.0
74,aa5_3,expectations: financial situation of your household,int64,1005,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don’t know (SPONTANEOUS)""}",,,1.0,4.0
75,aa5_4,expectations: employment situation in country,int64,1005,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don’t know (SPONTANEOUS)""}",,,1.0,4.0
76,aa5_5,expectations: your life in general,int64,1005,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don’t know (SPONTANEOUS)""}",,,1.0,4.0
77,aa6a,important country issues - firstly,int64,1005,0,20,"{""1"": ""Crime"", ""2"": ""Freedom of speech"", ""3"": ""Economic situation"", ""4"": ""Rising prices/ inflation"", ""5"": ""Taxation"", ""6"": ""Unemployment"", ""7"": ""Terrorism"", ""8"": ""Corruption"", ""9"": ""Defence/ Foreign affairs"", ""10"": ""Rule of law, transparency"", ""11"": ""Housing"", ""12"": ""Migration"", ""13"": ""Refugees and Internal Displaced People"", ""14"": ""Healthcare system"", ""15"": ""The educational system"", ""16"": ""Pensions"", ""17"": ""The environment"", ""18"": ""Energy"", ""19"": ""(ASK ONLY IN AZ, AM) Mountainous Garabagh (SPONTANEOUS)"", ""20"": ""(ASK ONLY IN MD) Transnistrian conflict (SPONTANEOUS)"", ""21"": ""Other (SPONTANEOUS)"", ""22"": ""None (SPONTANEOUS)"", ""23"": ""Don’t know (SPONTANEOUS)""}",,,1.0,23.0
78,aa6b_1,important country issues: crime,object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
79,aa6b_2,important country issues: freedom of speech,object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
80,aa6b_3,important country issues: economic situation,object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
81,aa6b_4,important country issues: rising prices/ inflation,object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
82,aa6b_5,important country issues: taxation,object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
83,aa6b_6,important country issues: unemployment,object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
84,aa6b_7,important country issues: terrorism,object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
85,aa6b_8,important country issues: corruption,object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
86,aa6b_9,important country issues: defence/ foreign affairs,object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
87,aa6b_10,"important country issues: rule of law, transparency",object,1005,0,3,"{""0"": ""Not mentined"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6a)""}",,,,
