position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,sentinel_codes,min,max
1,studyno,GESIS Data Archive Study Number,float64,1218,0,1,"{""7629"": ""GESIS Data Archive Study Number ZA7629""}",,,7629.0,7629.0
2,version,GESIS Archive version,str,1218,0,1,,"[""1.0.0 (2020-10-09)""]",,,
3,doi,Digital Object Identifier,str,1218,0,1,,"[""doi:10.4232/1.13516""]",,,
4,country,Country ISO 3166 Code (see c_sample for codes for the sample),float64,1218,0,1,"{""788"": ""TN-Tunisia""}",,,788.0,788.0
5,c_sample,c_sample Country/ Sample ISO 3166 Code (see country for codes for whole nation states),float64,1218,0,1,"{""788"": ""TN-Tunisia""}",,,788.0,788.0
6,c_alphan,Country/ Sample Prefix ISO 3166 Code - alphanumeric,str,1218,0,1,,"[""TN""]",,,
7,v1,Q1 How happy or unhappy?,float64,1218,0,5,"{""1"": ""Very happy"", ""2"": ""Happy"", ""3"": ""Not very happy"", ""4"": ""Not at all happy"", ""8"": ""Can't choose"", ""9"": ""No answer""}",,,1.0,8.0
8,v2,Q2 How satisfied with relationships with family members?,float64,1218,0,8,"{""1"": ""Completely satisfied"", ""2"": ""Very satisfied"", ""3"": ""Fairly satisfied"", ""4"": ""Neither satisfied nor dissatisfied"", ""5"": ""Fairly dissatisfied"", ""6"": ""Very dissatisfied"", ""7"": ""Completely dissatisfied"", ""8"": ""Can't choose"", ""9"": ""No answer""}",,,1.0,8.0
9,v3,Q3 Sexual relations with someone other than spouse,float64,1218,0,5,"{""1"": ""Always wrong"", ""2"": ""Almost always wrong"", ""3"": ""Wrong only sometimes"", ""4"": ""Not wrong at all"", ""8"": ""Can't choose"", ""9"": ""No answer""}",,,1.0,8.0
10,v4,Q4 Sexual relations between two adults of the same sex,float64,1218,0,5,"{""1"": ""Always wrong"", ""2"": ""Almost always wrong"", ""3"": ""Wrong only sometimes"", ""4"": ""Not wrong at all"", ""8"": ""Can't choose"", ""9"": ""No answer""}",,,1.0,8.0
