studyno,version,doi,country,c_sample,c_alphan,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,TN_v34,v35,TN_v36,v37,TN_v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,SEX,BIRTH,AGE,EDUCYRS,TN_DEGR,DEGREE,WORK,WRKHRS,EMPREL,WRKSUP,NSUP,TYPORG1,TYPORG2,ISCO08,MAINSTAT,PARTLIV,SPWORK,SPWRKHRS,SPEMPREL,SPWRKSUP,SPISCO08,SPMAINST,UNION,TN_RELIG,RELIGGRP,ATTEND,ATTD_EXT,TOPBOT,VOTE_LE,TN_PRTY,PARTY_LR,TN_ETHN1,TN_ETHN2,HOMPOP,HHADULT,HHCHILDR,HHTODD,TN_RINC,TN_INC,MARITAL,F_BORN,M_BORN,URBRURAL,TN_REG,CASEID,SUBSCASE,DATEYR,DATEMO,DATEDY,WEIGHT,MODE,PARTIALS
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Happy,Very satisfied,Always wrong,Always wrong,Always wrong,Disagree,Can't choose,Very little confidence,Some confidence,Very little confidence,Some confidence,Agree,Disagree,Disagree,Disagree,About the right amount of power,Definitely not accept,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","No, definitely not",Strongly disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Treats men and women equally,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Can't say/ Can't remember,Can't say/ Can't remember,Can't say/ Can't remember,Several times a day,Never,Yes,No,Never,Somewhat non-religious,"I follow a religion, I am not a spiritual person",Agree,Agree,Disagree,Neither agree nor disagree,Can't choose,Can't choose,Can't choose,Somewhat negative,Very positive,Can't choose,Can't choose,Somewhat negative,Very negative,Excellent,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Female,2000.0,18.0,13.0,Secondary school,"Post secondary, non-tertiary (other upper secondary programs toward the labour market or technical formation)",I have never had paid work,NAP (Code 2 or 3 in WORK),NAP (Code 3 in WORK),NAP (Code 3 in WORK),"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),NAP (Code 3 in WORK),NAP (Code 3 in WORK; NAV (TN),In education,No partner,NAP (Code 3 or 7 in PARTLIV),"NAP (Code 0, 2 or 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0,3 in SPWORK; NAV (TN)","NAP (Code 3, 7 in PARTLIV)","No, never","Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),04,No,"NAP (Code 0, 2, 7 in VOTE_LE)","NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",Six persons,Four adults,Two children [school entry age] to 17,No children below [age of school entry],No income,300.0,"Never married/ never in a civil partnership, single",Tunisia,Tunisia,A country village,Ouled Amor el Alâa,2018007880000001.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Happy,Very satisfied,Always wrong,Always wrong,Always wrong,Agree,Very little confidence,No confidence at all,Some confidence,Some confidence,Some confidence,Agree,Disagree,Neither agree nor disagree,Disagree,About the right amount of power,Definitely not accept,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,Can't choose,"Yes, definitely","Yes, definitely",Can't choose,Can't choose,Strongly disagree,Can't choose,Agree,Agree,Neither agree nor disagree,Strongly disagree,Treats men and women equally,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Can't say/ Can't remember,Can't say/ Can't remember,Can't say/ Can't remember,Never,Never,No,No,Never,Somewhat non-religious,"I follow a religion, I am not a spiritual person",Agree,Agree,Disagree,Disagree,Strongly agree,Can't choose,Can't choose,Somewhat negative,Somewhat positive,Can't choose,Can't choose,Somewhat negative,Somewhat negative,Excellent,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Male,2001.0,17.0,9.0,Secondary school,"Post secondary, non-tertiary (other upper secondary programs toward the labour market or technical formation)",I have never had paid work,NAP (Code 2 or 3 in WORK),NAP (Code 3 in WORK),NAP (Code 3 in WORK),"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),NAP (Code 3 in WORK),NAP (Code 3 in WORK; NAV (TN),In education,No partner,NAP (Code 3 or 7 in PARTLIV),"NAP (Code 0, 2 or 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0,3 in SPWORK; NAV (TN)","NAP (Code 3, 7 in PARTLIV)","No, never","Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),03,No,"NAP (Code 0, 2, 7 in VOTE_LE)","NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",NAP (Not a private household),NAP (Not a private household),NAP (Not a private household),NAP (Not a private household),No income,300.0,"Never married/ never in a civil partnership, single",Tunisia,Tunisia,A country village,Ouled Amor el Alâa,2018007880000002.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Not very happy,Fairly satisfied,Always wrong,Always wrong,Always wrong,Disagree,No confidence at all,Very little confidence,Very little confidence,Very little confidence,Some confidence,Disagree,Neither agree nor disagree,Disagree,Disagree,About the right amount of power,Definitely not accept,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, probably",Strongly disagree,Can't choose,Strongly agree,Disagree,Disagree,Disagree,Treats men and women equally,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Can't say/ Can't remember,Can't say/ Can't remember,Can't say/ Can't remember,Never,Never,Yes,No,Never,Somewhat non-religious,"I follow a religion, I am not a spiritual person",Agree,Agree,Disagree,Agree,Disagree,Disagree,Can't choose,Can't choose,Somewhat positive,Can't choose,Can't choose,Somewhat negative,Very negative,Excellent,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Male,1990.0,28.0,21+ years of education,Tertiary,"Lower level tertiary, first stage (also technical schools at a tertiary level)","I am currently in paid work,",Don't know,Employee,No,"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),Public employer,NAP (Code 3 in WORK; NAV (TN),In paid work,No partner,NAP (Code 3 or 7 in PARTLIV),"NAP (Code 0, 2 or 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0,3 in SPWORK; NAV (TN)","NAP (Code 3, 7 in PARTLIV)","No, never","Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),02,No,"NAP (Code 0, 2, 7 in VOTE_LE)","NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",Two persons,Two adults,No children [school entry age] to 17,No children below [age of school entry],120.0,120.0,"Never married/ never in a civil partnership, single",Tunisia,Tunisia,A country village,Ouled Amor el Alâa,2018007880000003.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Happy,Very satisfied,Always wrong,Always wrong,Always wrong,Agree,No confidence at all,No confidence at all,No confidence at all,No confidence at all,No confidence at all,Agree,Can't choose,Can't choose,Can't choose,Can't choose,Definitely not accept,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,Can't choose,"Yes, definitely","Yes, definitely",Can't choose,Can't choose,Strongly disagree,Can't choose,Strongly agree,Can't choose,Can't choose,Strongly disagree,Treats men and women equally,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Can't say/ Can't remember,Can't say/ Can't remember,Can't say/ Can't remember,Never,Never,Yes,No,Never,Somewhat non-religious,"I follow a religion, I am not a spiritual person",Agree,Agree,Disagree,Agree,Can't choose,Can't choose,Can't choose,Can't choose,Somewhat positive,Can't choose,Can't choose,Can't choose,Can't choose,Excellent,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Female,1986.0,32.0,6.0,Basic education (primary and lowar secondary),Lower secondary (secondary completed that does not allow entry to university: end of obligatory school),I have never had paid work,NAP (Code 2 or 3 in WORK),NAP (Code 3 in WORK),NAP (Code 3 in WORK),"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),NAP (Code 3 in WORK),NAP (Code 3 in WORK; NAV (TN),Domestic work,"Yes, have partner; live in same household",No answer,Don't know,Self-employed without employees,"NAP (Code 0, 3 in SPWORK)","NAP (Code 0,3 in SPWORK; NAV (TN)",In paid work,"No, never","Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),03,No,"NAP (Code 0, 2, 7 in VOTE_LE)","NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",Six persons,Two adults,Three children [school entry age] to 17,One child below [age of school entry],300.0,300.0,Married,Tunisia,Tunisia,A country village,Ouled Amor el Alâa,2018007880000004.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Happy,Very satisfied,Always wrong,Always wrong,Always wrong,Agree,Can't choose,Can't choose,Can't choose,Can't choose,Can't choose,Can't choose,Can't choose,Can't choose,Can't choose,Can't choose,Definitely not accept,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",Can't choose,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Treats men and women equally,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Never,Never,Never,Several times a day,Never,Yes,No,Never,Neither religious nor non-religious,"I follow a religion, I am not a spiritual person",Can't choose,Can't choose,Strongly disagree,Can't choose,Can't choose,Neither agree nor disagree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Can't choose,Can't choose,Somewhat negative,Very negative,Excellent,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Female,1997.0,21.0,6.0,Basic education (primary and lowar secondary),Lower secondary (secondary completed that does not allow entry to university: end of obligatory school),I have never had paid work,NAP (Code 2 or 3 in WORK),NAP (Code 3 in WORK),NAP (Code 3 in WORK),"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),NAP (Code 3 in WORK),NAP (Code 3 in WORK; NAV (TN),Domestic work,"Yes, have partner; live in same household",No answer,Don't know,Self-employed without employees,"NAP (Code 0, 3 in SPWORK)","NAP (Code 0,3 in SPWORK; NAV (TN)",In paid work,"No, never","Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),02,No,"NAP (Code 0, 2, 7 in VOTE_LE)","NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",Four persons,No answer,Two children [school entry age] to 17,Two children below [age of school entry],No income,100.0,Married,Tunisia,Tunisia,A country village,Ouled Amor el Alâa,2018007880000005.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Happy,Very satisfied,Always wrong,Always wrong,Always wrong,Disagree,No confidence at all,Very little confidence,Some confidence,Very little confidence,Some confidence,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,About the right amount of power,Definitely not accept,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, probably",Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Treats men and women equally,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Can't say/ Can't remember,Can't say/ Can't remember,Can't say/ Can't remember,Several times a day,Never,Yes,No,Never,Neither religious nor non-religious,"I follow a religion, I am not a spiritual person",Agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Can't choose,Somewhat negative,Very positive,Somewhat negative,Can't choose,Very negative,Very negative,Excellent,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Female,1995.0,23.0,18.0,Tertiary,"Lower level tertiary, first stage (also technical schools at a tertiary level)","I am currently in paid work,",25.0,Self-employed without employees,NAP (Code 3 in WORK),"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),Private employer,NAP (Code 3 in WORK; NAV (TN),In paid work,No partner,NAP (Code 3 or 7 in PARTLIV),"NAP (Code 0, 2 or 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0,3 in SPWORK; NAV (TN)","NAP (Code 3, 7 in PARTLIV)","No, never","Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),02,No,"NAP (Code 0, 2, 7 in VOTE_LE)","NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",Nine persons,Eight adults,One child [school entry age] to 17,No children below [age of school entry],100.0,200.0,"Never married/ never in a civil partnership, single",Tunisia,Tunisia,A town or a small city,Rakada Kairouan Sud,2018007880000006.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Happy,Completely satisfied,Always wrong,Always wrong,Always wrong,Strongly disagree,No confidence at all,Very little confidence,A great deal of confidence,A great deal of confidence,Some confidence,Strongly agree,Disagree,Agree,Agree,Too much power,Definitely not accept,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","No, definitely not",Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Treats men better than women,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Never,Can't say/ Can't remember,Never,Several times a day,Never,Yes,No,Never,Can't choose,"I follow a religion, I am not a spiritual person",Agree,Agree,Disagree,Strongly disagree,Disagree,Can't choose,Can't choose,Somewhat negative,Very positive,Somewhat negative,Somewhat negative,Very negative,Very negative,Excellent,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Female,1990.0,28.0,13.0,Secondary school,"Post secondary, non-tertiary (other upper secondary programs toward the labour market or technical formation)",I have never had paid work,NAP (Code 2 or 3 in WORK),NAP (Code 3 in WORK),NAP (Code 3 in WORK),"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),NAP (Code 3 in WORK),NAP (Code 3 in WORK; NAV (TN),Unemployed and looking for a job,No partner,NAP (Code 3 or 7 in PARTLIV),"NAP (Code 0, 2 or 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0,3 in SPWORK; NAV (TN)","NAP (Code 3, 7 in PARTLIV)","No, never","Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),"Lowest, Bottom, 01",No,"NAP (Code 0, 2, 7 in VOTE_LE)","NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",Four persons,Four adults,No children [school entry age] to 17,No children below [age of school entry],No income,No income,"Never married/ never in a civil partnership, single",Tunisia,Tunisia,A town or a small city,Rakada Kairouan Sud,2018007880000007.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Happy,Completely satisfied,Always wrong,Always wrong,Always wrong,Disagree,Can't choose,Can't choose,A great deal of confidence,Some confidence,Some confidence,Strongly agree,Can't choose,Can't choose,Can't choose,About the right amount of power,Definitely not accept,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","No, definitely not",Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Treats men and women equally,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Every week,Every week,Can't say/ Can't remember,Several times a day,Every week,Yes,No,About once a month or more,Somewhat religious,"I follow a religion, I am not a spiritual person",Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Very negative,Very positive,Very negative,Very negative,Very negative,Very negative,Fair,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Female,1960.0,58.0,3.0,Basic education (primary and lowar secondary),Lower secondary (secondary completed that does not allow entry to university: end of obligatory school),"I am currently in paid work,",NAP (Code 2 or 3 in WORK),Employee,No,"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),Public employer,NAP (Code 3 in WORK; NAV (TN),In paid work,"Yes, have partner; live in same household",No answer,No answer,No answer,No,"NAP (Code 0,3 in SPWORK; NAV (TN)",No answer,"Yes, previously but not currently","Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),04,No,"NAP (Code 0, 2, 7 in VOTE_LE)","NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",Three persons,Three adults,No children [school entry age] to 17,No children below [age of school entry],800.0,800.0,Married,Tunisia,Tunisia,A town or a small city,Rakada Kairouan Sud,2018007880000008.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Happy,Completely satisfied,Always wrong,Always wrong,Always wrong,Agree,Some confidence,No confidence at all,A great deal of confidence,Some confidence,A great deal of confidence,Can't choose,Neither agree nor disagree,Can't choose,Can't choose,Can't choose,Definitely not accept,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, probably",Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Treats men and women equally,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Never,Never,Never,Several times a day,Every week,Yes,No,About once a month or more,Somewhat religious,"I follow a religion, I am not a spiritual person",Agree,Agree,Can't choose,Disagree,Disagree,Can't choose,Can't choose,Can't choose,Very positive,Can't choose,Can't choose,Can't choose,Can't choose,Very good,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Male,1962.0,56.0,13.0,Secondary school,"Post secondary, non-tertiary (other upper secondary programs toward the labour market or technical formation)","I am currently in paid work,",8.0,Employee,No,"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),Public employer,NAP (Code 3 in WORK; NAV (TN),In paid work,"Yes, have partner; live in same household",No answer,No answer,No answer,No,"NAP (Code 0,3 in SPWORK; NAV (TN)",Domestic work,"Yes, currently","Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),04,Yes,Nahdha,"NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",Five persons,Five adults,No children [school entry age] to 17,No children below [age of school entry],500.0,500.0,Married,Tunisia,Tunisia,A town or a small city,Rakada Kairouan Sud,2018007880000009.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
GESIS Data Archive Study Number ZA7629,1.0.0 (2020-10-09),doi:10.4232/1.13516,TN-Tunisia,TN-Tunisia,TN,Not very happy,Fairly satisfied,Always wrong,Always wrong,Always wrong,Disagree,Can't choose,Can't choose,A great deal of confidence,No confidence at all,Can't choose,Can't choose,Can't choose,Can't choose,Can't choose,Can't choose,Can't choose,Definitely not,Definitely not,I know God really exists and have no doubts about it,I believe in God now and I always have,"Yes, definitely","Yes, definitely","Yes, definitely","No, definitely not","No, definitely not",Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Treats men and women equally,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Sunni Muslim,Not provided,Can't say/ Can't remember,Can't say/ Can't remember,Can't say/ Can't remember,Several times a day,Never,Yes,No,Several times a year,Neither religious nor non-religious,"I follow a religion, I am not a spiritual person",Agree,Agree,Strongly disagree,Can't choose,Can't choose,Strongly disagree,Can't choose,Somewhat negative,Very positive,Can't choose,Can't choose,Very negative,Very negative,Very good,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Female,1975.0,43.0,4.0,Basic education (primary and lowar secondary),Lower secondary (secondary completed that does not allow entry to university: end of obligatory school),"I am currently in paid work,",20.0,Self-employed without employees,NAP (Code 3 in WORK),"NAP (code 2, 0 in WRKSUP)",NAP (Code 3 in WORK; NAV (TN),No answer,NAP (Code 3 in WORK; NAV (TN),Domestic work,"Yes, have partner; live in same household",Never had paid work,"NAP (Code 0, 2 or 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0, 3 in SPWORK)","NAP (Code 0,3 in SPWORK; NAV (TN)",Domestic work,No answer,"Not available; NAP, other countries",No answer; NAV (TN),Not available (TN),Not available (TN),02,No,"NAP (Code 0, 2, 7 in VOTE_LE)","NAP (Code 0, 2, 7 in VOTE_LE); NAV (TN)","Not available; NAP, other countries","Not available; NAP, other countries",Three persons,Three adults,No children [school entry age] to 17,No children below [age of school entry],200.0,200.0,Married,Tunisia,Tunisia,A town or a small city,Rakada Kairouan Sud,2018007880000010.0,Not provided,Year 2018,Not provided,Not provided,,Not provided,Complete interview (> 80 % answered)
