position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,sentinel_codes,min,max
1,COUNTRY,Country,float64,2400,0,1,"{""1"": ""Algeria"", ""5"": ""Egypt"", ""7"": ""Iraq"", ""8"": ""Jordan"", ""9"": ""Kuwait"", ""10"": ""Lebanon"", ""11"": ""Libya"", ""12"": ""Mauritania"", ""13"": ""Morocco"", ""15"": ""Palestine"", ""19"": ""Sudan"", ""21"": ""Tunisia""}",,,21.0,21.0
2,ID,,float64,2400,0,2400,,,,210001.0,212400.0
3,DATE,RECORD TODAY’S DATE,str,2400,0,50,,"[""2021-10-01"", ""2021-10-02"", ""2021-10-03"", ""2021-10-04"", ""2021-10-05"", ""2021-10-06"", ""2021-10-07"", ""2021-10-08"", ""2021-10-09"", ""2021-10-10"", ""2021-10-11"", ""2021-10-12"", ""2021-10-13"", ""2021-10-14"", ""2021-10-15"", ""2021-10-16"", ""2021-10-17"", ""2021-10-18"", ""2021-10-19"", ""2021-10-20"", ""2021-10-21"", ""2021-10-22"", ""2021-10-23"", ""2021-10-24"", ""2021-10-25"", ""2021-10-26"", ""2021-10-27"", ""2021-10-28"", ""2021-10-29"", ""2021-10-30"", ""2021-10-31"", ""2021-11-01"", ""2021-11-02"", ""2021-11-03"", ""2021-11-04"", ""2021-11-05"", ""2021-11-06"", ""2021-11-07"", ""2021-11-08"", ""2021-11-09"", ""2021-11-10"", ""2021-11-11"", ""2021-11-12"", ""2021-11-13"", ""2021-11-14"", ""2021-11-15"", ""2021-11-16"", ""2021-11-17"", ""2021-11-19"", ""2021-11-20""]",,,
4,Q1,Q1. Governorate,float64,2400,0,24,"{""97"": ""I am not from this country."", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""The respondent does not wish to continue"", ""10001"": ""Algiers"", ""10002"": ""Blida"", ""10003"": ""Djelfa"", ""10004"": ""Tizi Ouzou"", ""10005"": ""Boumerdes"", ""10006"": ""Medea"", ""10007"": ""M'sila"", ""10008"": ""Tipaza"", ""10009"": ""Bouira"", ""10010"": ""Setif"", ""10011"": ""Batna"", ""10012"": ""Constantine"", ""10013"": ""Skikda"", ""10014"": ""Bejaia"", ""10015"": ""Annaba"", ""10016"": ""Mila"", ""10017"": ""Jijel"", ""10018"": ""Oeb"", ""10019"": ""Bba"", ""10020"": ""Biskra"", ""10021"": ""Tebessa"", ""10022"": ""Guelma"", ""10023"": ""Khenchela"", ""10024"": ""Souk Ahras"", ""10025"": ""El Tarf"", ""10026"": ""Oran"", ""10027"": ""Tlemcen"", ""10028"": ""Chlef"", ""10029"": ""Tiaret"", ""10030"": ""Mascara"", ""10031"": ""Mostaganem"", ""10032"": ""Sidi Bel Abbes"", ""10033"": ""Relizane"", ""10034"": ""Ain Temouchent"", ""10035"": ""Saida"", ""10036"": ""Tissemsilt"", ""10037"": ""Laghouat"", ""10038"": ""Ouargla"", ""10039"": ""El Oued"", ""10040"": ""Naama"", ""11001"": ""Derna"", ""11002"": ""Almarj"", ""11003"": ""Benghazi"", ""11004"": ""Tobruk"", ""11005"": ""Ejdabia"", ""11006"": ""Al Jabal Al Akhdar"", ""11007"": ""Alkufra"", ""11008"": ""Sirt"", ""11009"": ""Aljufra"", ""11010"": ""Almargeb"", ""11011"": ""Tripoli"", ""11012"": ""Aljfara"", ""11013"": ""Azzawya"", ""11014"": ""Misrata"", ""11015"": ""Zwara"", ""11016"": ""Al Jabal Al Gharbi"", ""11017"": ""Nalut"", ""11018"": ""Wadi Ashshati"", ""11019"": ""Sebha"", ""11020"": ""Ubari"", ""11021"": ""Ghat"", ""11022"": ""Murzuq"", ""50001"": ""Cairo"", ""50002"": ""Alexandria"", ""50003"": ""Port Said"", ""50004"": ""Suez"", ""50005"": ""Damietta"", ""50006"": ""Dakahlia"", ""50007"": ""Eastern"", ""50008"": ""Kaliobeya"", ""50009"": ""Matrouh"", ""50010"": ""Qena"", ""50014"": ""Fayoum"", ""50015"": ""Giza"", ""50016"": ""Red Sea"", ""50017"": ""Luxor"", ""50018"": ""Aswan"", ""50019"": ""Assiut"", ""50020"": ""Minya"", ""50021"": ""Kafr El Sheik"", ""50022"": ""Ismalilia"", ""50023"": ""The Lake"", ""50024"": ""Western"", ""50025"": ""Menoufia"", ""50026"": ""Beni Suef"", ""50027"": ""Sohag"", ""70001"": ""Baghdad"", ""70002"": ""Salahaddin"", ""70003"": ""Diyala"", ""70004"": ""Wasit"", ""70005"": ""Maysan"", ""70006"": ""Basra"", ""70007"": ""Dhi Qar"", ""70008"": ""Muthana"", ""70009"": ""Qadisiyah"", ""70010"": ""Babylon"", ""70011"": ""Karbala"", ""70012"": ""Najaf"", ""70013"": ""Anbar"", ""70014"": ""Nineveh"", ""70015"": ""Dohuk"", ""70016"": ""Erbil"", ""70017"": ""Kirkuk"", ""70018"": ""Sulaymaniyah"", ""80011"": ""العاصمة"", ""80012"": ""البلقاء"", ""80013"": ""الزرقاء"", ""80014"": ""مادبا"", ""80021"": ""اربد"", ""80022"": ""المفرق"", ""80023"": ""جرش"", ""80024"": ""عجلون"", ""80031"": ""الكرك"", ""80032"": ""الطفيلة"", ""80033"": ""معان"", ""80034"": ""العقبة"", ""90001"": ""Al Asimah"", ""90002"": ""Ahmadi"", ""90003"": ""Farwaniya"", ""90004"": ""Jahra"", ""90005"": ""Hawalli"", ""90006"": ""Mubarak Al-Kabeer"", ""100001"": ""AKKAR"", ""100002"": ""BAALBEK-EL HERMEL"", ""100003"": ""BEIRUT"", ""100004"": ""BEKAA"", ""100005"": ""EL NABATIYEH"", ""100006"": ""MOUNT LEBANON"", ""100007"": ""NORTH"", ""100008"": ""SOUTH"", ""120001"": ""Adrar"", ""120002"": ""Assaba"", ""120003"": ""Brakna"", ""120015"": ""Trarza"", ""130001"": ""Tanger-Tetouan-Al Hoceima"", ""130002"": ""Oriental"", ""130003"": ""Fes-Meknes"", ""130004"": ""Rabat-Sale-Kenitra"", ""130005"": ""Beni Mellal-Khenifra"", ""130006"": ""Grand Casablanca-Settat"", ""130007"": ""Marrakech-Safi"", ""130008"": ""Draa-Tafilalet"", ""130009"": ""Souss-Massa"", ""130010"": ""Guelmim-Oued Noun"", ""130011"": ""Laayoune-Sakia El Hamra"", ""130012"": ""Eddakhla-Oued Eddahab"", ""150001"": ""Bethlehem"", ""150002"": ""Deir al Balah"", ""150003"": ""Gaza"", ""150004"": ""Hebron"", ""150005"": ""Jabalia"", ""150006"": ""Jerusalem"", ""150007"": ""Jenin"", ""150008"": ""Jerico"", ""150009"": ""Khan Yunis"", ""150010"": ""Nabulus"", ""150011"": ""Qalqilya"", ""150012"": ""Rafah"", ""150013"": ""Ramallah"", ""150014"": ""Salfit"", ""150015"": ""Tubas"", ""150016"": ""Tulkarem"", ""190001"": ""Al Gezira"", ""190002"": ""Blue Nile"", ""190003"": ""Sinnar"", ""190004"": ""White Nile"", ""190005"": ""Central Darfu"", ""190006"": ""East Darfur"", ""190007"": ""North Darfur"", ""190008"": ""South Darfur"", ""190009"": ""West Darfur"", ""190010"": ""Al Gedarif"", ""190011"": ""Kassala"", ""190012"": ""Red Sea"", ""190013"": ""Khartoum"", ""190014"": ""North Kordofan"", ""190015"": ""South Kordofan"", ""190016"": ""West Kordofan"", ""190017"": ""Northern"", ""190018"": ""River Nile"", ""210001"": ""Tunis"", ""210002"": ""Ariana"", ""210003"": ""Ben Arous"", ""210004"": ""Manouba"", ""210005"": ""Nabeul"", ""210006"": ""Zaghouan"", ""210007"": ""Bizerte"", ""210008"": ""Beja"", ""210009"": ""Jendouba"", ""210010"": ""Kef"", ""210011"": ""Siliana"", ""210012"": ""Sousse"", ""210013"": ""Monastir"", ""210014"": ""Mahdia"", ""210015"": ""Sfax"", ""210016"": ""Kairouan"", ""210017"": ""Kasserine"", ""210018"": ""Sidi Bouzid"", ""210019"": ""Gabes"", ""210020"": ""Medenine"", ""210021"": ""Tatouine"", ""210022"": ""Gafsa"", ""210023"": ""Tozeur"", ""210024"": ""Kebili""}",,,210001.0,210024.0
5,PSU,PSU. Enter PSU,float64,2400,0,299,,,,1.0,300.0
6,Q13,Q13 Urban/Rural,float64,2400,0,2,"{""1"": ""Urban"", ""2"": ""Rural"", ""3"": ""Camp""}",,,1.0,2.0
7,Q1A_PAL,Q1A_PAL. Area,float64,0,2400,0,"{""1"": ""West Bank"", ""2"": ""Gaza""}",,,,
8,Q1A_ALG,Q1A_ALG. Area,float64,0,2400,0,"{""1"": ""Algiers"", ""2"": ""North Central"", ""3"": ""Northeast"", ""4"": ""Northwest"", ""5"": ""South""}",,,,
9,Q1A_LIB,Q1A_LIB. Region,float64,0,2400,0,"{""1101"": ""East"", ""1102"": ""West"", ""1103"": ""South""}",,,,
10,WT,,float64,2400,0,630,,,,0.3832678097710882,4.0
11,Q1001,Q1001. How old are you?,float64,2400,0,76,"{""99999"": ""Refused to answer""}",,,18.0,99999.0
12,Q1001YEAR,Q1001year. What year were you born?,float64,82,2318,39,"{""99999"": ""Refused to answer""}",,,1936.0,99999.0
13,Q1001APPROX,Q1001approx. Could you please tell me your approximate age?,float64,3,2397,3,"{""99999"": ""Refused to answer""}",,,50.0,70.0
14,Q1002,Q1002. Gender,float64,2400,0,2,"{""1"": ""Male"", ""2"": ""Female"", ""100"": ""The respondent does not wish to continue""}",,,1.0,2.0
15,Q2061A,Q2061A. What is the most important challenge facing your country today?,float64,2400,0,10,"{""1"": ""Economic situation"", ""2"": ""Corruption"", ""6"": ""Instability"", ""7"": ""Foreign interference"", ""12"": ""Public services"", ""15"": ""Spread of COVID-19"", ""16"": ""Other"", ""64"": ""Terrorism"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""The respondent does not wish to continue""}",,,1.0,99.0
16,Q2061A_KUW,Q2061A_KUW. What is the most important challenge facing your country today?,float64,0,2400,0,"{""1"": ""Economic situation"", ""2"": ""Corruption"", ""8"": ""Granting of citizenship"", ""9"": ""Foreign investments"", ""10"": ""Other"", ""12"": ""Public services"", ""15"": ""Spread of COVID-19"", ""16"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""The respondent does not wish to continue""}",,,,
17,Q1COVID19,Q1COVID19. To what extent are you afraid that the coronavirus will continue to spread and infect many people in your country over the next 6 months?,float64,2400,0,6,"{""1"": ""Very concerned"", ""2"": ""Somewhat concerned"", ""3"": ""Somewhat not concerned"", ""4"": ""Not at all concerned"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""The respondent does not wish to continue""}",,,1.0,99.0
18,Q2ACOVID19,Q2ACOVID19. Which of the following reasons best explains your concern?,float64,1208,1192,10,"{""1"": ""Family member illness, death"", ""2"": ""Loss of household income"", ""3"": ""Negative economic impact"", ""4"": ""Healthcare system can’t handle"", ""5"": ""Gov.t response inadequate"", ""6"": ""Citizens ignoring recommendations"", ""7"": ""No vaccine"", ""8"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""The respondent does not wish to continue""}",,,1.0,99.0
19,Q2BCOVID19,Q2BCOVID19. Which of the following reasons best explains your lack of concern?,float64,1179,1221,10,"{""1"": ""Threat exaggerated"", ""2"": ""No income loss"", ""3"": ""No negative economic impacts"", ""4"": ""Healthcare system can handle"", ""5"": ""Gov.t response adequate"", ""6"": ""Citizens following recommendations"", ""7"": ""There is now a vaccine"", ""8"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""The respondent does not wish to continue""}",,,1.0,99.0
20,Q16ACOVID19_1,Q16ACOVID19. No,float64,2400,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
21,Q16ACOVID19_2,Q16ACOVID19. Yes- money,float64,2400,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
22,Q16ACOVID19_3,Q16ACOVID19. Yes- food,float64,2400,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
23,Q16ACOVID19_4,Q16ACOVID19. Yes- energy subsidies,float64,2400,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
24,Q16ACOVID19_5,Q16ACOVID19. Yes- non-food items,float64,2400,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
25,Q16ACOVID19_6,Q16ACOVID19. Yes- relief from utility bills,float64,2400,0,1,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,0.0
26,Q16ACOVID19_7,Q16ACOVID19. Yes- relief from taxes,float64,2400,0,1,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,0.0
27,Q16ACOVID19_8,Q16ACOVID19. Other,float64,2400,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
28,Q16ACOVID19_98,Q16ACOVID19. Don’t know,float64,2400,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
29,Q16ACOVID19_99,Q16ACOVID19. Refused to answer,float64,2400,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
30,Q16BCOVID19_1,Q16BCOVID19. The national government,float64,347,2053,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
31,Q16BCOVID19_2,Q16BCOVID19. The local government,float64,347,2053,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
32,Q16BCOVID19_3,Q16BCOVID19. A local NGO,float64,347,2053,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
33,Q16BCOVID19_4,Q16BCOVID19. An international NGO,float64,347,2053,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
34,Q16BCOVID19_5,Q16BCOVID19. A mosque or a church,float64,347,2053,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
35,Q16BCOVID19_6,Q16BCOVID19. Family or friends,float64,347,2053,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
36,Q16BCOVID19_7,Q16BCOVID19. Other,float64,347,2053,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
37,Q16BCOVID19_8,Q16BCOVID19. Non-profit organizations/Charities,float64,0,2400,0,,,,,
38,Q16BCOVID19_98,Q16BCOVID19. Don’t know,float64,347,2053,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
39,Q16BCOVID19_99,Q16BCOVID19. Refused to answer,float64,347,2053,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
40,Q15COVID19_1,Q15COVID19_1. What is the biggest challenge that the spread of the coronavirus caused for you?,float64,2399,1,12,"{""1"": ""Getting COVID-19 or coping with side effects"", ""2"": ""Psychological effects"", ""3"": ""Disruption of education"", ""4"": ""Curtailed political activity"", ""5"": ""Inflation"", ""6"": ""Scarcity"", ""7"": ""Loss of income"", ""8"": ""Disruption of social life"", ""9"": ""Other"", ""97"": ""Caused no challenges"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""The respondent does not wish to continue""}",,,1.0,99.0
41,Q15COVID19_2,Q15COVID19_2. What is the second biggest challenge that the spread of the coronavirus caused for you?,float64,2317,83,12,"{""1"": ""Getting COVID-19 or coping with side effects"", ""2"": ""Psychological effects"", ""3"": ""Disruption of education"", ""4"": ""Curtailed political activity"", ""5"": ""Inflation"", ""6"": ""Scarcity"", ""7"": ""Loss of income"", ""8"": ""Disruption of social life"", ""9"": ""Other"", ""97"": ""Caused no challenges"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""The respondent does not wish to continue""}",,,1.0,99.0
