position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,min,max
1,id,,float64,2400,0,2400,,1.0,2400.0
2,psu,,float64,2400,0,300,,1.0,300.0
3,country,COUNTRY ID,float64,2400,0,1,"{""1"": ""Algeria"", ""5"": ""Egypt"", ""7"": ""Iraq"", ""8"": ""Jordan"", ""9"": ""Kuwait"", ""10"": ""Lebanon"", ""11"": ""Libya"", ""13"": ""Morocco"", ""14"": ""Oman"", ""15"": ""Palestine"", ""16"": ""Qatar"", ""17"": ""Kingdom of Saudi Arabia"", ""19"": ""Sudan"", ""21"": ""Tunisia"", ""22"": ""Yemen""}",21.0,21.0
4,splita,,float64,2400,0,2,,1.0,2.0
5,splitb,,float64,2400,0,3,,1.0,3.0
6,wave,,float64,2400,0,1,,5.0,5.0
7,q1,GOVERNORATE,float64,2400,0,24,"{""10002"": ""Chlef"", ""10004"": ""O.E. Bouaghi"", ""10005"": ""Batna"", ""10006"": ""Bejaia"", ""10007"": ""Biskara"", ""10009"": ""Blida"", ""10010"": ""Bouira"", ""10012"": ""Tebessa"", ""10013"": ""Tlemcen"", ""10014"": ""Tiaret"", ""10015"": ""Tiz-Ouzou"", ""10016"": ""Algiers"", ""10017"": ""Djelfa"", ""10018"": ""Jijel"", ""10019"": ""Setif"", ""10020"": ""Saïda"", ""10021"": ""Skikda"", ""10022"": ""Sidi B. Abbes"", ""10023"": ""Annaba"", ""10024"": ""Guelma"", ""10025"": ""Constantine"", ""10026"": ""Medea"", ""10027"": ""Mostaganem"", ""10028"": ""Messilia"", ""10029"": ""Mascara"", ""10031"": ""Oran"", ""10034"": ""B.B. Arreridj"", ""10035"": ""Boumderdes"", ""10036"": ""Al Traf"", ""10038"": ""Tissemsilt"", ""10040"": ""Khenchela"", ""10041"": ""Souk Ahras"", ""10042"": ""Tipaza"", ""10043"": ""Mila"", ""10046"": ""Timouchent"", ""10048"": ""Relizane"", ""50001"": ""Cairo"", ""50002"": ""Alexandria"", ""50003"": ""Port Said"", ""50004"": ""Suez"", ""50005"": ""Damietta"", ""50006"": ""Dakahlia"", ""50007"": ""Eastern"", ""50008"": ""Kaliobeya"", ""50009"": ""Matrouh"", ""50010"": ""Qena"", ""50014"": ""Fayoum"", ""50015"": ""Giza"", ""50016"": ""Red Sea"", ""50017"": ""Luxor"", ""50018"": ""Aswan"", ""50019"": ""Assiut"", ""50020"": ""Minya"", ""50021"": ""Kafr El Sheik"", ""50022"": ""Ismalilia"", ""50023"": ""The Lake"", ""50024"": ""Western"", ""50025"": ""Menoufia"", ""50026"": ""Beni Suef"", ""50027"": ""Sohag"", ""70001"": ""Baghdad"", ""70002"": ""Salahaddin"", ""70003"": ""Diyala"", ""70004"": ""Wasit"", ""70005"": ""Maysan"", ""70006"": ""Basra"", ""70007"": ""Dhi War"", ""70009"": ""Qadisiyah"", ""70010"": ""Babylon"", ""70011"": ""Karbala"", ""70012"": ""Najaf"", ""70013"": ""Anbar"", ""70014"": ""Nineveh"", ""70016"": ""Erbil"", ""70017"": ""Kirkuk"", ""70018"": ""Sulaymaniya"", ""80011"": ""Amman"", ""80012"": ""Al Balqa"", ""80013"": ""Azurqa"", ""80014"": ""Madaba"", ""80021"": ""Irbid"", ""80022"": ""Al Mafraq"", ""80023"": ""Jerash"", ""80024"": ""Ajioun"", ""80031"": ""Karak"", ""80032"": ""Tafila"", ""80033"": ""Ma'an"", ""80034"": ""Aqaba"", ""90001"": ""Al Asimah (Capital)"", ""90002"": ""Hawalli"", ""90003"": ""Ahmadi"", ""90004"": ""Jahra"", ""90005"": ""Farwaniya"", ""90006"": ""Mubarak Al-Kabeer"", ""100001"": ""Akkar"", ""100002"": ""North"", ""100003"": ""Bekaa"", ""100004"": ""Baalbek"", ""100005"": ""Beirut"", ""100006"": ""Mt Lebanon"", ""100007"": ""South"", ""100008"": ""Nabatieh"", ""110001"": ""Tripoli"", ""110002"": ""Jafara"", ""110003"": ""Al Zawia"", ""110004"": ""Nuqat Al Khams"", ""110005"": ""Al Jabal AL Gharbi"", ""110006"": ""Al Murqub"", ""110007"": ""Misrata"", ""110008"": ""Sirt"", ""110009"": ""Nalut"", ""110010"": ""Al Wahat"", ""110011"": ""Benghazi"", ""110012"": ""Almarj"", ""110013"": ""Al Jabal Al Akhdar"", ""110014"": ""Derna"", ""110015"": ""Tobruq"", ""110016"": ""Al Kufra"", ""110017"": ""Al Jufra"", ""110018"": ""Sebha"", ""110019"": ""Murzuq"", ""110020"": ""Ubari"", ""110021"": ""Ghat"", ""110022"": ""Wadi Alshati"", ""130001"": ""Tanger-Tetouan-Al Hoceima"", ""130002"": ""Oriental"", ""130003"": ""Fès-Meknès"", ""130004"": ""Rabat-Salé-Kénitra"", ""130005"": ""Béni Mellal-Khénifra"", ""130006"": ""Grand Casablanca-Settat"", ""130007"": ""Marrakech-Safi"", ""130008"": ""Drâa-Tafilalet"", ""130009"": ""Sousse-Massa"", ""130010"": ""Guelmim-Oued Noun"", ""130011"": ""Laayoune-Sakia El Hamra"", ""130012"": ""Eddakhla-Oued Eddahab"", ""150001"": ""Bethlehem"", ""150002"": ""Deir al Balah"", ""150003"": ""Gaza"", ""150004"": ""Hebron"", ""150005"": ""Jabalia"", ""150006"": ""Jerusalem"", ""150007"": ""Jenin"", ""150008"": ""Jerico"", ""150009"": ""Khan Yunis"", ""150010"": ""Nabulus"", ""150011"": ""Qalqilya"", ""150012"": ""Rafah"", ""150013"": ""Ramallah"", ""150014"": ""Salfit"", ""150015"": ""Tubas"", ""150016"": ""Tulkarem"", ""190001"": ""North"", ""190002"": ""Nile River"", ""190003"": ""Red Sea"", ""190004"": ""Gedaref"", ""190005"": ""Kassala"", ""190006"": ""Sennar"", ""190007"": ""Khartoum"", ""190008"": ""The Island"", ""190009"": ""North Kordofan"", ""190010"": ""Blue Nile"", ""190011"": ""White Nile"", ""190012"": ""South Kordofan"", ""190013"": ""West Kordofan"", ""190014"": ""East Darfur"", ""190015"": ""South Darfur"", ""190016"": ""Central Darfur"", ""190017"": ""North Darfur"", ""190018"": ""West Darfur"", ""210001"": ""Tunis"", ""210002"": ""Ariana"", ""210003"": ""Ben Arous"", ""210004"": ""Manouba"", ""210005"": ""Nabeul"", ""210006"": ""Zaghouan"", ""210007"": ""Bizerte"", ""210008"": ""Beja"", ""210009"": ""Jendouba"", ""210010"": ""Kef"", ""210011"": ""Siliana"", ""210012"": ""Sousse"", ""210013"": ""Monastir"", ""210014"": ""Mahdia"", ""210015"": ""Sfax"", ""210016"": ""Kairouan"", ""210017"": ""Kasserine"", ""210018"": ""Sidi Bouzid"", ""210019"": ""Gabes"", ""210020"": ""Medenine"", ""210021"": ""Tatouine"", ""210022"": ""Gafsa"", ""210023"": ""Tozeur"", ""210024"": ""Kebili"", ""220001"": ""Amran"", ""220002"": ""Ad Dali"", ""220003"": ""Al Bayda"", ""220004"": ""Al Hudaydah"", ""220005"": ""Al Jawf"", ""220006"": ""Al Mahwit"", ""220007"": ""Amanat Al Asimah"", ""220008"": ""Dhamar"", ""220009"": ""Hajjah"", ""220010"": ""Ibb"", ""220011"": ""Ma'rib"", ""220012"": ""Raymah"", ""220013"": ""Sa'dah"", ""220014"": ""Sana'a"", ""220015"": ""Ta'izz"", ""220016"": ""'Adan"", ""220017"": ""Abyan"", ""220018"": ""Al Mahrah"", ""220019"": ""Hadramaut"", ""220020"": ""Lahij"", ""220021"": ""Shabwah"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know"", ""1"": ""1. Doha"", ""2"": ""2. Al Rayyan"", ""3"": ""3. Al Wakra"", ""4"": ""4. Umm Slal"", ""5"": ""5. Al Daayen"", ""6"": ""6. Al Khor and Al Thakhira"", ""7"": ""7. Al Shamal"", ""8"": ""8. Al Sheehaniya""}",210001.0,210024.0
8,a1,REGION,float64,2400,0,2,"{""10001"": ""North West"", ""10002"": ""North Central"", ""10003"": ""North East"", ""50001"": ""North"", ""50002"": ""Central"", ""50003"": ""South"", ""70001"": ""Baghdad"", ""70002"": ""South"", ""70003"": ""West"", ""70004"": ""North"", ""80001"": ""North"", ""80002"": ""Central"", ""80003"": ""South"", ""110001"": ""East"", ""110002"": ""Central"", ""110003"": ""Tripoli"", ""110004"": ""West"", ""110005"": ""W. Mountain"", ""110006"": ""South"", ""130001"": ""North"", ""130002"": ""East"", ""130003"": ""Center"", ""130004"": ""South"", ""150001"": ""West Bank"", ""150002"": ""Gaza Strip"", ""190001"": ""North"", ""190002"": ""East"", ""190003"": ""Central"", ""190004"": ""Kordofan"", ""190005"": ""Darfur"", ""210001"": ""North"", ""210002"": ""South"", ""220001"": ""Government"", ""220002"": ""Houthi""}",210001.0,210002.0
9,q13,SETTLEMENT,float64,2400,0,2,"{""1"": ""urban"", ""2"": ""rural"", ""3"": ""refugee camp""}",1.0,2.0
10,wt,,float64,2400,0,558,,0.4682606299506161,4.266760191147852
