id,psu,country,splita,splitb,wave,q1,a1,q13,wt,stratum,sample,mode,Q1001,Q1001GCC,Q1002,Q100,Q2061A,Q2061B,Q101,Q101A,Q102,Q108_1,Q108_2,Q108_3,Q108_4,Q109AGCC_1,Q109AGCC_2,Q104,Q104A,Q104A_1,Q104A_2,Q104A_3,Q104A_4,Q104A_5,Q104A_6,Q104A_7,Q104A_8,Q104A_98,Q104A_99,Q104B_KSA,Q104B_UAE,Q104B_QA,Q104B_BA,Q104B_KU,Q104B_OM,Q104B_EG,Q104B_JO,Q104B_LEB,Q104B_MO,Q104B_AL,Q104B_TUN,Q104B_TUR,Q104B_US,Q104B_CAN,Q104B_UK,Q104B_EEU,Q104B_FR,Q104B_GER,Q104B_ESP,Q104B_IT,Q104B_WEUOTHER,Q104B_SSA,Q104B_OTHER,Q104B_DK,Q104B_REF,Q104B_WEU,Q104C,Q105,Q103,Q201A_1,Q201A_2,Q201A_3,Q201A_5,Q201A_41,Q201A_42,Q201A_7,Q201B_6,Q201B_13,Q201B_20,Q201B_31,Q201B_12,Q201C_37,Q201C_38,Q201C_39,Q201C_32,Q201C_32GCC,Q201C_40,Q513,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q204_22,Q204B_13,Q204B_15,Q204C_13,Q204C_15,Q205_1,Q205_4,Q205_4LEB,Q205_6,Q205_7,Q214,Q211D,Q209B,Q210,Q211,Q211A,Q211B,Q211C,Q213B,Q213A_1,Q213A_2,Q213A_3,Q209,Q216,Q218_2,Q218_5,Q218_6,Q501,Q501A,Q266,Q502_1,Q502_2,Q502_4,Q265,Q263,Q404,Q301A,Q301B,Q301BGCC,Q303A,Q302,Q503A,Q505A,Q301C,Q601A,Q516A,Q515A2,Q511,Q512,Q514,Q514A,Q523GCC,Q516_1,Q516_2,Q516_3,Q516_4,Q423_1,Q423_2,Q423_3,Q409,Q424,Q412A3,Q412A4,Q412A6,Q412A7,Q412A8,Q412A9,Q412A10,Q412A14,Q412A98,Q412A99,Q421,Q521_1,Q521_4,Q521_5,Q521A_3,Q521A_4,Q852,Q853A,Q853B,Q854,Q855A,Q855B,Q851_E1,Q851_E2,Q851A,Q851B,Q851C,Q851D_1,Q851D_2,Q851D_3,Q851D_4,Q851D_5,Q851D_6,Q851D_7,Q851D_98,Q851D_99,Q860A,Q860B,Q860C,Q860D,Q1012,Q1012A,Q609,Q609A,Q610_8,Q610_5A,Q610_5B,Q610_6A,Q610_6B,Q610_9,Q601_1,Q601_3,Q601_4,Q601_7,Q601_9,Q601_9A,Q601_14,Q601_18,Q601_20,Q602_1,Q602_2,Q602_3,Q602_4A,Q602_4B,Q604A_1,Q604A_3,Q604B_1,Q604B_3,Q604_1,Q604_3,Q604_6,Q604_7,Q606_1,Q606_2,Q606_3,Q606_4,Q606_8,Q607_2,Q607_6,Q607_7,Q605,Q605A_1,Q605A_2,Q605A_3,Q605A_4,Q605B,Q700A_1,Q700A_2,Q700A_8,Q700A_9,Q700A_4,Q700A_3,Q700A_13,Q700A_12,Q701C_1,Q701C_2,Q701C_3,Q701C_4,Q701C_5,Q701C_6,Q701F_1,Q701F_2,Q701F_3,Q701G_1,Q701G_2,Q701G_3,Q701G_4,Q701G_5,Q701H,Q703,Q705,Q706A,Q706B,Q707,Q707_1,Q707_2,Q707_3,Q707_4,Q707_5,Q707_6,Q707_7,Q707_8,Q725_1,Q725_2,Q725_3,Q725_4,Q709B,Q7141A,Q7141B,Q833,Q841,Q1003GCCA,Q1003,Q1020JO,Q1001A,Q1001B,Q1001C,Q1001D,Q1005,Q1006,Q1006A,Q1006A_GCC,Q1006C,Q1006C_GCC,Q1006C_GCC1,Q1006D,Q1006E,Q1006F_1,Q1006F,Q1006G,Q1010,Q1010C,Q1010B1,Q1010B2,Q1018,Q1018A,Q1018B,Q1018C,Q1018D,Q1018E,Q1018F,Q1014A,Q1015A_LEB,Q1015B_LEB,Q1015C_LEB,Q1015A_JO,Q1015B_JO,Q1015C_JO,Q1015A_PAL,Q1015B_PAL,Q1015C_PAL,Q1015A_MO,Q1015B_MO,Q1015C_MO,Q1015A_TUN,Q1015B_TUN,Q1015C_TUN,Q1015A_EG,Q1015B_EG,Q1015C_EG,Q1015A_SUD,Q1015B_SUD,Q1015C_SUD,Q1015_YEM,Q1015A_YEM,Q1015A_IR,Q1015B_IR,Q1015C_IR,Q1015A_AL,Q1015B_AL,Q1015C_AL,Q1015A_LI,Q1015B_LI,Q1015C_LI,Q1015A_KU,Q1015B_KU,Q1015C_KU,Q1015A_QA,Q1015B_QA,Q1015C_QA,Q1016,Q1017,E2001B
31.0,4.0,Tunisia,1.0,3.0,5.0,Tunis,North,urban,1.0473666957095369,1.0,main sample,CAPI,18.0,,male,between,economic situation,foreign interference,bad,the same,don't know,not at all serious,very serious,very serious,serious,,,yes,education opportunities,,,,,,,,,,,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0.  not selected,no,ensured,not trusted,little trust,little trust,no trust,little trust,little trust,no trust,no trust,some trust,no trust,no trust,no trust,little trust,,,,,,,4.,dissatisfied,dissatisfied,very bad,bad,bad,bad,,good,bad,,,difficult,difficult,,difficult,easy,no,no,agree,medium extent,medium extent,everyone,necessary,,often,yes,yes,yes,disagree,disagree,agree,disagree,disagree,no,no,no,never,never,never,statement 2,statement 2,very uninterested,no,,,don't know,no,Ennahda,strongly agree (S1),no,strongly disagree,statement 3,statement 3,6.0,6.,strongly agree,,,agree,agree,disagree,agree,0 hrs,0 hrs,2 hrs,once daily,2 hrs,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,newspapers,not at all,not at all,medium extent,disagree,disagree,,,,,,,rarely,never,no,,,,,,,,,,,,,,,2.0,Muslim,Sunni,not religious,five times a day,always,sometimes,,sometimes,,sometimes,strongly disagree,agree,agree,,strongly disagree,,disagree,agree,,neither nor,neither nor,neither nor,neither nor,,moderate degree,no degree,,,,,,,disagree,disagree,disagree,agree,disagree,agree,agree,disagree,statement 3,,,,,,become weaker,become stronger,remain the same,become weaker,remain the same,remain the same,remain the same,become weaker, decrease,remain the same, decrease,increase,,,medium extent,no extent,medium extent,yes,yes,yes,no,yes,gaining influence,limit,,agree,statement 1,agree,,,,,,,,,very bad,neither nor,good,,disagree,Israel,,medium extent,both,,secondary education,,Tunis,18.0,poor,stay,student,,,,,,,,,no,,,single,,,,0.0,,,,,,,1,,,,,,,,,,,,,below median,301-350,,,,,,,,,,,,,,,,,,,,,,,,,doesn't cover cost,,
79.0,10.0,Tunisia,1.0,2.0,5.0,Tunis,North,urban,0.6714520269496274,1.0,main sample,CAPI,68.0,,male,between,economic situation,fighting terrorism,very bad,worse,better,very serious,serious,very serious,very serious,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ensured,not trusted,some trust,no trust,no trust,no trust,don't know,great trust,no trust,great trust,no trust,no trust,some trust,no trust,,,,,,,5.,very dissatisfied,dissatisfied,bad,not responsible,good,bad,,good,good,,,easy,don't know,,difficult,difficult,yes,yes,strongly disagree,medium extent,small extent,a few,highly unnecessary,,don't know,yes,yes,no,agree,agree,agree,strongly agree,agree,yes,no,no,never,never,never,statement 1,statement 2,interested,yes,,,statement 1,no,other,strongly agree (S2),yes,strongly disagree,statement 3,statement 1,5.0,5.,agree,,,agree,disagree,disagree,agree,2 hrs,0 hrs,0 hrs,once daily,2 hrs,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,social media,great extent,great extent,great extent,disagree,agree,,,,,,,never,never,no,,,,,,,,,,,,,1.0,,,Muslim,other,not religious,never,,never,,sometimes,,,agree,disagree,disagree,,agree,,agree,agree,,neither nor,neither nor,strongly dislike,strongly dislike,,no degree,no degree,,,,,,,strongly agree,strongly disagree,strongly disagree,strongly agree,agree,agree,agree,agree,statement 5,,,,,,become weaker,become weaker,become stronger,become weaker,become stronger,become stronger,become stronger,become stronger, decrease, decrease,increase, decrease,,,medium extent,medium extent,small extent,yes,yes,yes,no,no,internal stability,don't know,,agree,statement 2,agree,,,,,,,,,bad,very good,good,,disagree,Libya,,great extent,religious divide,,Bachelor,,Tunis,53.0,both,stay,retired,,,,,,,,,yes,no,,married,no,yes,0.0,0.0,,,,,,,1,,,,,,,,,,,,,above median,,>1000,,,,,,,,,,,,,,,,,,,,,,,,able to save,,
18.0,3.0,Tunisia,1.0,3.0,5.0,Tunis,North,urban,0.6204834344666394,1.0,main sample,CAPI,43.0,,female,between,fighting terrorism,economic situation,very bad,the same,much worse,very serious,not serious,very serious,very serious,,,yes,ecocnomic reasons,,,,,,,,,,,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0.  not selected,no,not ensured,not trusted,no trust,little trust,no trust,don't know,no trust,great trust,don't know,great trust,no trust,no trust,no trust,no trust,,,,,,,dissatisfied,very dissatisfied,very dissatisfied,very bad,very bad,bad,very bad,,bad,bad,,,very easy,very easy,,don't know,very easy,no,no,disagree,large extent,no extent,a few,highly unnecessary,,often,yes,yes,yes,agree,strongly disagree,agree,disagree,disagree,no,no,refused,never,never,never,statement 2,statement 1,very uninterested,yes,,,statement 3,no,no party,strongly agree (S2),no,agree,statement 2,statement 3,1.0,unsuitable,agree,,,agree,agree,disagree,disagree,0 hrs,0 hrs,2 hrs,throughout day,2 hrs,mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,newspapers,not at all,limited extent,not at all,disagree,disagree,,,,,,,never,never,no,,,,,,,,,,,,,,,2.0,Muslim,other,religious,five times a day,rarely,rarely,,always,,always,agree,disagree,disagree,,disagree,,agree,disagree,,neither nor,neither nor,neither nor,refused,,no degree,no degree,,,,,,,agree,disagree,disagree,disagree,disagree,disagree,agree,disagree,statement 1,,,,,,become stronger,become stronger,become weaker,become weaker,become weaker,become stronger,become stronger,become weaker,remain the same, decrease, decrease,increase,,,large extent,no extent,large extent,no,yes,yes,yes,yes,improving citizens' lives,open up,,disagree,statement 2,disagree,,,,,,,,,very bad,don't know,good,,disagree,don't know,,not extent,religious divide,,Bachelor,,Tunis,3.0,don't know,stay,self-employed,full-time,private,,professional,,,,,no,,,married,,yes,0.0,0.0,,,,,,,2,,,,,,,,,,,,,above median,,>1000,,,,,,,,,,,,,,,,,,,,,,,,covers costs,,
234.0,30.0,Tunisia,1.0,3.0,5.0,Tunis,North,urban,0.5777346264511906,1.0,main sample,CAPI,51.0,,female,between,economic situation,97.0,bad,much worse,don't know,very serious,very serious,very serious,very serious,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ensured,not trusted,don't know,some trust,no trust,no trust,some trust,some trust,some trust,some trust,little trust,no trust,no trust,some trust,,,,,,,5.,satisfied,very dissatisfied,don't know,very bad,don't know,very bad,,don't know,very bad,,,difficult,difficult,,very difficult,difficult,yes,don't know,don't know,large extent,no extent,don't know,highly necessary,,often,yes,yes,yes,agree,agree,disagree,agree,don't know,no,no,no,never,never,never,statement 1,statement 1,interested,no,,,statement 3,no,don't know,strongly agree (S1),no,agree,don't know,don't know,8.0,1.,agree,,,agree,agree,agree,agree,2 hrs,0 hrs,0 hrs,never,,,,,,,,,,,,television,medium extent,limited extent,limited extent,agree,agree,,,,,,,never,never,no,,,,,,,,,,,,,,,0.0,Muslim,Sunni,not religious,never,,never,,always,,,agree,don't know,disagree,,agree,,agree,agree,,neither nor,neither nor,dislike,neither nor,,no degree,no degree,,,,,,,agree,disagree,don't know,don't know,don't know,agree,agree,don't know,statement 3,,,,,,become weaker,become weaker,remain the same,become stronger,become weaker,become stronger,become weaker,become weaker, decrease, decrease, decrease, decrease,,,medium extent,medium extent,medium extent,yes,yes,don't know,yes,yes,improving citizens' lives,don't know,,agree,don't know,agree,,,,,,,,,don't know,good,good,,agree,No country,,great extent,religious divide,,no education,,Kasserine,9.0,don't know,move,housewife,,,,,,,,,yes,no,,married,,no,,1.0,ambulatory,,need assistance,,need assistance,,0.0,,,,,,,,,,,,,below median,201-300,,,,,,,,,,,,,,,,,,,,,,,,,significant difficulties,,
59.0,8.0,Tunisia,1.0,1.0,5.0,Tunis,North,urban,2.0143561422487792,1.0,main sample,CAPI,64.0,,male,between,economic situation,fighting terrorism,very bad,better,much better,very serious,not serious,very serious,very serious,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fully ensured,not trusted,great trust,great trust,no trust,no trust,no trust,some trust,some trust,great trust,some trust,no trust,great trust,some trust,,,,,,,9.,very dissatisfied,very dissatisfied,good,good,good,good,,good,good,,,easy,easy,,easy,difficult,yes,yes,agree,large extent,medium extent,everyone,highly unnecessary,,often,yes,yes,yes,strongly agree,agree,strongly disagree,strongly agree,agree,no,no,no,never,never,never,statement 1,statement 2,very uninterested,yes,,,statement 1,no,no party,don't know,no,agree,statement 3,statement 1,2.0,suitable,strongly agree,,,disagree,disagree,strongly agree,strongly agree,2 hrs,2 hrs,don't know,never,,,,,,,,,,,,television,great extent,great extent,great extent,disagree,agree,,,,,,,never,never,no,,,,,,,,,,,,2.0,,,,Muslim,Sunni,religious,never,,never,,sometimes,,,agree,strongly disagree,strongly agree,,disagree,,strongly agree,disagree,,neither nor,neither nor,neither nor,neither nor,,no degree,no degree,,,,,,,strongly agree,agree,disagree,strongly agree,disagree,disagree,agree,agree,statement 3,,,,,,become stronger,remain the same,remain the same,remain the same,remain the same,remain the same,become stronger,remain the same, decrease, decrease, decrease, decrease,,,large extent,no extent,medium extent,no,yes,no,yes,yes,gaining influence,open up,,disagree,statement 2,agree,,,,,,,,,very bad,good,neither nor,,disagree,No country,,great extent,political divide,,secondary education,,Tunis,43.0,both,stay,retired,,,,,,,,,yes,no,,married,yes,yes,2.0,0.0,,,,,,,1,,,,,,,,,,,,,below median,301-350,,,,,,,,,,,,,,,,,,,,,,,,,covers costs,,
83.0,11.0,Tunisia,2.0,2.0,5.0,Tunis,North,urban,0.6714520269496274,1.0,main sample,CAPI,86.0,,male,between,fighting terrorism,economic situation,very bad,much worse,don't know,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fully ensured,not trusted,no trust,some trust,little trust,no trust,don't know,great trust,some trust,,,,,,no trust,no trust,some trust,no trust,,don't know,5.,dissatisfied,dissatisfied,bad,bad,good,very bad,,,,bad,bad,easy,easy,,very difficult,very difficult,no,yes,agree,medium extent,no extent,most,,highly necessary,often,yes,yes,yes,disagree,disagree,disagree,strongly disagree,agree,no,no,no,never,never,never,statement 1,statement 3,very uninterested,,statement 1,,statement 1,no,other,strongly agree (S2),no,strongly agree,statement 3,statement 3,dictatorship,3.,,little by little,,disagree,disagree,agree,agree,2 hrs,2 hrs,0 hrs,never,,,,,,,,,,,,television,great extent,not at all,not at all,disagree,don't know,very negative,important,,strongly disagree,often,sometimes,never,never,no,,,,,,,,,,,,,1.0,,,Muslim,other,religious,five times a day,always,always,,always,,always,agree,strongly agree,strongly agree,,,disagree,strongly agree,strongly agree,,neither nor,neither nor,strongly like,strongly like,,,,no degree,large degree,,,,,disagree,disagree,disagree,strongly disagree,disagree,disagree,agree,disagree,statement 5,agree,strongly disagree,disagree,disagree,statement 2,become stronger,become stronger,become weaker,become stronger,become stronger,become weaker,become stronger,become weaker,increase,,increase,,increase, decrease,large extent,large extent,large extent,yes,no,no,no,yes,economic development,,external factors,agree,statement 1,agree,,,,,,,,,neither nor,bad,good,,disagree,,US,small extent,religious divide,,elementary education,,Medenine,83.0,both,stay,retired,,,,,,,,,no,,,widowed,,yes,1.0,0.0,,,,,,,1,,,,,,,,,,,,,below median,351-400,,,,,,,,,,,,,,,,,,,,,,,,,covers costs,none,
153.0,20.0,Tunisia,1.0,3.0,5.0,Tunis,North,urban,0.6714520269496274,1.0,main sample,CAPI,67.0,,male,between,political/party issues,97.0,very bad,much worse,don't know,very serious,very serious,very serious,very serious,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not ensured,not trusted,no trust,no trust,no trust,no trust,no trust,little trust,little trust,some trust,some trust,no trust,no trust,no trust,,,,,,,3.,very dissatisfied,very dissatisfied,very bad,very bad,very bad,very bad,,very bad,bad,,,easy,difficult,,never tried,never tried,no,don't know,agree,large extent,no extent,don't know,highly necessary,,no examples,yes,yes,yes,agree,disagree,strongly disagree,agree,agree,no,no,no,never,never,never,statement 2,statement 1,very uninterested,yes,,,don't know,no,Ennahda,strongly agree (S1),don't know,agree,statement 3,statement 1,dictatorship,unsuitable,strongly agree,,,disagree,agree,agree,agree,0 hrs,0 hrs,0 hrs,never,,,,,,,,,,,,television,medium extent,don't know,medium extent,disagree,agree,,,,,,,never,never,no,,,,,,,,,,,,,,,3.0,Muslim,Just a Muslim,somewhat religious,five times a day,most of the time,never,,most of the time,,never,disagree,agree,disagree,,strongly disagree,,agree,strongly agree,,neither nor,neither nor,neither nor,neither nor,,moderate degree,no degree,,,,,,,disagree,don't know,agree,disagree,don't know,disagree,agree,disagree,statement 1,,,,,,become stronger,become weaker,become stronger,don't know,become stronger,become weaker,don't know,don't know, decrease,increase, decrease,remain the same,,,no extent,no extent,large extent,yes,yes,yes,yes,yes,gaining influence,limit,,agree,statement 2,don't know,,,,,,,,,bad,good,good,,strongly disagree,US,,great extent,political divide,,basic education,,Siliana,38.0,poor,move,retired,,,,,,,,,yes,yes,permanent,married,yes,no,,1.0,ambulatory,,with some difficulty,,with some difficulty,,0.0,,,,,,,,,,,,,below median,301-350,,,,,,,,,,,,,,,,,,,,,,,,,able to save,,
110.0,14.0,Tunisia,2.0,1.0,5.0,Tunis,North,urban,2.0787717167454907,1.0,main sample,CAPI,24.0,,female,between,economic situation,financial and administrative corruption,very bad,much worse,much better,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not ensured,not trusted,little trust,no trust,no trust,some trust,some trust,some trust,little trust,,,,,,no trust,little trust,some trust,some trust,,no trust,5.,very dissatisfied,dissatisfied,very bad,very bad,good,very bad,,,,bad,very bad,easy,difficult,,very difficult,difficult,no,no,strongly agree,large extent,medium extent,most,,unnecessary,often,yes,no,yes,disagree,agree,agree,agree,disagree,yes,no,yes,never,never,never,statement 2,statement 3,very uninterested,,statement 1,,statement 3,no,no party,don't know,no,disagree,statement 2,statement 3,2.0,3.,,little by little,,agree,agree,agree,agree,2 hrs,2 hrs,0 hrs,throughout day,2 hrs,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,television,not at all,limited extent,medium extent,disagree,disagree,very positive,,unimportant,agree,most of the time,never,never,never,no,,,,,,,,,,,,0.0,,,,Muslim,don't know,religious,never,,rarely,,most of the time,,,agree,disagree,disagree,,,agree,agree,agree,,neither nor,neither nor,neither nor,neither nor,,,,moderate degree,moderate degree,,,,,agree,disagree,disagree,disagree,agree,agree,agree,agree,statement 3,agree,disagree,disagree,agree,statement 1,become weaker,become stronger,become weaker,become stronger,become stronger,become stronger,become weaker,become stronger,increase,,remain the same,,increase,increase,medium extent,no extent,medium extent,no,yes,no,no,yes,gaining influence,,internal factors,strongly disagree,statement 2,disagree,,,,,,,,,bad,bad,good,,agree,,US,great extent,political divide,,tertiary education,,Tunis,25.0,both,stay,housewife,,,,,,,,,no,,,single,,,,0.0,,,,,,,2,,,,,,,,,,,,,above median,,450-500,,,,,,,,,,,,,,,,,,,,,,,,able to save,none,
197.0,25.0,Tunisia,2.0,2.0,5.0,Tunis,North,urban,0.6187301592123499,1.0,main sample,CAPI,25.0,,male,between,economic situation,97.0,very bad,the same,much worse,,,,,,,yes,ecocnomic reasons,,,,,,,,,,,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0.  not selected,yes,ensured,not trusted,no trust,no trust,no trust,no trust,no trust,no trust,no trust,,,,,,no trust,no trust,don't know,no trust,,no trust,dissatisfied,very dissatisfied,very dissatisfied,good,don't know,very bad,bad,,,,very bad,good,very difficult,difficult,,difficult,easy,no,yes,agree,large extent,no extent,everyone,,highly necessary,often,yes,don't know,yes,don't know,strongly disagree,strongly disagree,disagree,agree,no,no,no,never,never,never,statement 2,statement 2,very uninterested,,statement 1,,statement 2,no,no party,agree (S2),no,agree,statement 3,statement 4,democracy,suitable,,little by little,,strongly disagree,disagree,don't know,don't know,0 hrs,0 hrs,0 hrs,throughout day,10 hrs+,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,social media,great extent,not at all,not at all,don't know,disagree,very positive,very important,,strongly agree,most of the time,most of the time,never,never,no,,,,,,,,,,,,,0.0,,,Muslim,don't know,not religious,never,,never,,always,,,agree,agree,disagree,,,agree,agree,disagree,,neither nor,dislike,neither nor,neither nor,,,,no degree,no degree,,,,,agree,disagree,disagree,agree,don't know,agree,disagree,agree,statement 5,agree,disagree,strongly disagree,disagree,don't know,become stronger,become weaker,become stronger,become stronger,remain the same,don't know,become stronger,become stronger,increase,,increase,,increase,increase,medium extent,no extent,large extent,yes,yes,yes,yes,yes,improving citizens' lives,,internal factors,agree,statement 2,agree,,,,,,,,,bad,don't know,don't know,,agree,,Israel,great extent,political divide,,elementary education,,Tunis,25.0,both,move,unemployed,,,,,,,,,yes,no,,single,,,,0.0,,,,,,,4,,,,,,,,,,,,,below median,301-350,,,,,,,,,,,,,,,,,,,,,,,,,doesn't cover cost,none,
151.0,19.0,Tunisia,2.0,3.0,5.0,Tunis,North,urban,1.2504955291911821,1.0,main sample,CAPI,37.0,,male,between,economic situation,financial and administrative corruption,very bad,much better,much better,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ensured,not trusted,some trust,great trust,no trust,no trust,little trust,great trust,no trust,,,,,,no trust,no trust,no trust,little trust,,some trust,3.,very dissatisfied,satisfied,very bad,very bad,good,very bad,,,,very bad,very bad,easy,difficult,,very difficult,very difficult,no,no,strongly agree,large extent,no extent,everyone,,unnecessary,often,yes,yes,yes,strongly agree,strongly disagree,agree,strongly agree,strongly disagree,no,no,no,never,never,never,statement 2,statement 1,very uninterested,,statement 3,,statement 2,no,other,refused,no,disagree,statement 3,statement 3,6.0,4.,,little by little,,disagree,agree,disagree,agree,5 hrs,2 hrs,0 hrs,less than weekly,0 hrs,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,television,medium extent,medium extent,medium extent,strongly disagree,strongly disagree,positive,very important,,strongly agree,sometimes,sometimes,never,never,no,,,,,,,,,,,,,,,0.0,Muslim,Shafi’i,somewhat religious,never,,never,,most of the time,,,agree,disagree,disagree,,,disagree,agree,disagree,,neither nor,like,like,neither nor,,,,no degree,no degree,,,,,agree,agree,agree,strongly agree,strongly agree,disagree,strongly agree,strongly disagree,statement 2,agree,disagree,strongly disagree,disagree,statement 2,become stronger,become stronger,become stronger,become stronger,become stronger,become stronger,become stronger,become stronger,increase,,increase,,increase,increase,small extent,no extent,large extent,yes,yes,no,yes,no,improving citizens' lives,,internal factors,strongly disagree,statement 2,strongly disagree,,,,,,,,,very bad,very good,very good,,disagree,,Libya,great extent,political divide,,basic education,,Tunis,30.0,poor,stay,unemployed,,,,,,,,,yes,yes,temporary,single,,,,0.0,,,,,,,1,,,,,,,,,,,,,below median,301-350,,,,,,,,,,,,,,,,,,,,,,,,,significant difficulties,once a year,
