position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,min,max
11,Q2ACOVID19,Which of the following reasons best explains your concern?,float64,690,510,9,"{""1"": ""Having a member of your family get very ill or die"", ""2"": ""Loss of household income"", ""3"": ""Negative impacts on the economy"", ""4"": ""Inability of the healthcare system to handle COVID-19 cases"", ""5"": ""The government’s response has not been adequate"", ""6"": ""Other citizens have not done a good job of following government recommendations"", ""7"": ""Other- SPECIFY"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
12,Q2BCOVID19,Which of the following reasons best explains your lack of concern?,float64,499,701,9,"{""1"": ""The health threat posed by the coronavirus is exaggerated"", ""2"": ""No loss of household income"", ""3"": ""Little to no negative impacts on the economy"", ""4"": ""The country’s healthcare infrastructure can handle coronavirus cases"", ""5"": ""The government’s response has been adequate to stop the spread of the coronavirus"", ""6"": ""Other citizens have done a good job following government recommendations"", ""7"": ""Other- SPECIFY"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
13,Q12COVID19_3,"Do you think the coronavirus has had a less harmful impact, about the same impac",float64,1200,0,6,"{""1"": ""Less harmful impact"", ""2"": ""About the same impact"", ""3"": ""More harmful impact"", ""97"": ""I am a member of this group"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
14,Q12COVID19_4,Citizens who live in rural areas,float64,1200,0,6,"{""1"": ""Less harmful impact"", ""2"": ""About the same impact"", ""3"": ""More harmful impact"", ""97"": ""I am a member of this group"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
15,Q12COVID19_5A," Do you think the coronavirus has had a less harmful impact, about the same impa",float64,0,1200,0,"{""1"": ""Less harmful impact"", ""2"": ""About the same impact"", ""3"": ""More harmful impact"", ""97"": ""I am a member of this group"", ""98"": ""DK"", ""99"": ""RA"", ""100"": ""Refuse to continue""}",,,
16,Q12COVID19_5B,Migrants,float64,1200,0,5,"{""1"": ""Less harmful impact"", ""2"": ""About the same impact"", ""3"": ""More harmful impact"", ""97"": ""I am a member of this group"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
17,Q5COVID19,"If you were employed before the spread of the coronavirus, did it cause you to:",float64,1200,0,6,"{""1"": ""Permanently lose your job"", ""2"": ""A temporary interruption in your job"", ""3"": ""You had to work from home but it caused no serious interruption"", ""4"": ""Had no effect on your job status"", ""97"": ""Not applicable- was not employed before the outbreak"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,98.0
18,Q10COVID19_5,"Since the outbreak of the coronavirus, has abuse of or violence against women in",float64,1200,0,5,"{""1"": ""Increased"", ""2"": ""Stayed the same"", ""3"": ""Decreased"", ""97"": ""NA. Does not happen in my household or community"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
19,Q13COVID19,"If it became available, how likely are you to get the vaccine if it was availabl",float64,1200,0,6,"{""1"": ""Very likely"", ""2"": ""Somewhat likely"", ""3"": ""Somewhat unlikely"", ""4"": ""Very unlikely"", ""97"": ""I already got the vaccine"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,98.0
20,Q14COVID19,"If you had the choice, which of the following vaccines would you prefer to get",float64,1194,6,7,"{""1"": ""Vaccine developed in the US"", ""2"": ""Vaccine developed in Russia"", ""3"": ""Vaccine developed in China"", ""4"": ""Vaccine developed in the UK"", ""97"": ""I would not get any of these"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
21,Q15COVID19_1,"In order of importance, which of the following are the two biggest challenges th",float64,1200,0,10,"{""1"": ""Having contracted or coping with long-term side effects of COVID-19"", ""2"": ""Adverse effects on psycho-emotional state (nafsiyeh)"", ""3"": ""Disruption of my kids’ education"", ""4"": ""Constraints on political activity"", ""5"": ""Increased cost of living (inflation)"", ""6"": ""Decreased availability of basic goods (scarcity)"", ""7"": ""Loss of income"", ""8"": ""Other_____ Specify"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
22,Q15COVID19_2,"In order of importance, which of the following are the two biggest challenges th",float64,1178,22,10,"{""1"": ""Having contracted or coping with long-term side effects of COVID-19"", ""2"": ""Adverse effects on psycho-emotional state (nafsiyeh)"", ""3"": ""Disruption of my kids’ education"", ""4"": ""Constraints on political activity"", ""5"": ""Increased cost of living (inflation)"", ""6"": ""Decreased availability of basic goods (scarcity)"", ""7"": ""Loss of income"", ""8"": ""Other_____ Specify"", ""97"": ""There is no second answer"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
23,Q16COVID19,Have you or your household received any relief aid from the government during th,float64,1200,0,7,"{""1"": ""No"", ""2"": ""Yes- money"", ""3"": ""Yes- food"", ""4"": ""Yes- energy subsidies"", ""5"": ""Yes- other NFI"", ""6"": ""Yes- grace period for bills"", ""7"": ""Yes- other"", ""23"": ""Yes-Money AND food (respondent selected both)"", ""26"": ""Yes-Food AND grace period (responded selected both)"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
24,Q101,How would you evaluate the current economic situation in your country?,float64,1200,0,6,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Bad"", ""4"": ""Very bad"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
25,Q102,What do you think will be the economic situation in your country during the next,float64,1200,0,7,"{""1"": ""Much better"", ""2"": ""Somewhat better"", ""3"": ""Almost the same"", ""4"": ""Somewhat worse"", ""5"": ""Much worse"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
26,Q112_1,“We worried our food would run out before we got money to buy more”,float64,1200,0,5,"{""1"": ""Often true"", ""2"": ""Sometimes true"", ""3"": ""Never true"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
27,Q112_2,“The food that we bought did not last and we did not have money to get more”,float64,1200,0,4,"{""1"": ""Often true"", ""2"": ""Sometimes true"", ""3"": ""Never true"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,98.0
28,Q118,"In your opinion, which of the following is the most important issue the governme",float64,1200,0,8,"{""1"": ""Create more job opportunities"", ""2"": ""Raise wages for existing jobs"", ""3"": ""Lower the cost of living (limiting inflation)"", ""4"": ""Reform the education system"", ""5"": ""Encouraging foreign investment"", ""6"": ""Other"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
29,Q601_1,"For each of the statements listed below, please indicate whether you agree stron",float64,1200,0,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
30,Q601_4,University education for males is more important than university education for f,float64,1200,0,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
31,Q601_19,All primary and secondary schools should be coeducational (i.e. not separating g,float64,1200,0,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
32,Q601_18,A man should have final say in all decisions concerning the family.,float64,1200,0,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
33,Q601_20,Taking care of the home and children is a woman’s primary responsibility,float64,1200,0,6,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
34,Q620,To what extent do you personally agree or disagree with the following statement:,float64,1200,0,6,"{""1"": ""Completely agree"", ""2"": ""Somewhat agree"", ""3"": ""Disagree"", ""4"": ""Completely disagree"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
35,Q619_1A,Barrier to entry into workplace for women: Lack of means of transportation,float64,1200,0,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
36,Q619_1B,Barrier to entry into workplace for women: Lack of childcare options,float64,1200,0,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
37,Q619_3A,Barrier to entry into workplace for women: Women working alongside men,float64,1200,0,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
38,Q619_4A,Barrier to entry into workplace for women: Low wages,float64,1200,0,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
39,Q619_5A,Barrier to entry into workplace for women: Men are given priority for employment,float64,1200,0,6,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,1.0,99.0
40,Q601A,To achieve fairer representation a certain percentage of elected positions shoul,float64,0,1200,0,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Disagree"", ""4"": ""Strongly disagree"", ""97"": ""A female quota is the wrong tool to achieve (political) representation"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,,
41,Q201A_1,Trust in government (Council of Ministers),float64,1200,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
42,Q201A_2,Trust in courts and legal system,float64,1200,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
43,Q201B_6,Trust in armed forces,float64,1200,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
44,Q201B_13,Trust in religious leaders,float64,1200,0,6,"{""1"": ""A great deal of trust"", ""2"": ""Quite a lot of trust"", ""3"": ""Not a lot of trust"", ""4"": ""No trust at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
45,QLIB1,To what extent do you believe that geographic quotas are the ideal solution to t,float64,0,1200,0,"{""1"": ""To a great extent"", ""2"": ""To a medium extent"", ""3"": ""To a small extent"", ""4"": ""Not at all"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,,
46,Q204A_3,How satisfied are you with the following? The government’s performance overall,float64,1200,0,6,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
47,Q204A_1,The educational system in our country,float64,1200,0,5,"{""1"": ""Completely satisfied"", ""2"": ""Satisfied"", ""3"": ""Dissatisfied"", ""4"": ""Completely dissatisfied"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,98.0
