position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,min,max
77,Q104A_5,Reason for emmigration: Education,float64,583,617,2,"{""0"": ""No"", ""1"": ""Yes""}",,0.0,1.0
78,Q104A_6,Reason for emmigration: Reunite with family,float64,583,617,2,"{""0"": ""No"", ""1"": ""Yes""}",,0.0,1.0
79,Q104A_7,Reason for emmigration: Corruption,float64,583,617,2,"{""0"": ""No"", ""1"": ""Yes""}",,0.0,1.0
80,Q104A_8,Reason for emmigration: Other specify,float64,0,1200,0,"{""0"": ""No"", ""1"": ""Yes""}",,,
81,Q1003,What is your highest level of education?,float64,1200,0,8,"{""1"": ""No formal education"", ""2"": ""Elementary"", ""3"": ""Preparatory/Basic"", ""4"": ""Secondary"", ""5"": ""Mid-level diploma/professional or technical"", ""6"": ""BA"", ""7"": ""MA and above"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
82,Q1010,What is your current social status?,float64,1200,0,7,"{""1"": ""Single"", ""2"": ""Living with a partner"", ""3"": ""Engaged"", ""4"": ""Married"", ""5"": ""Divorced"", ""6"": ""Separated"", ""7"": ""Widowed"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
83,Q1010B1,Do you have children?,float64,817,383,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
84,Q1010B2,"Are any of your children primary, middle, or secondary school-aged?",float64,701,499,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,98.0
85,Q1014C,What is the total number of people who live in this household?,float64,1200,0,18,"{""999"": ""Refused to answer""}",,1.0,99999.0
86,Q1005,Employment status,float64,1200,0,8,"{""1"": ""Employed"", ""2"": ""Self-Employed"", ""3"": ""Retired"", ""4"": ""A housewife"", ""5"": ""A student"", ""6"": ""Unemployed or looking for work"", ""7"": ""Other, specify: ___________"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
87,Q1005B,You said you were retired. Do you receive a pension?,float64,102,1098,2,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,2.0
88,Q1005C,Are you looking for a job?,float64,218,982,3,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,98.0
89,Q1005D,Why are you not looking for a job?,float64,43,1157,8,"{""1"": ""No jobs available"", ""2"": ""Salaries are too low"", ""3"": ""No jobs for my specialization"", ""4"": ""Family obligations prevent me"", ""5"": ""I am not allowed"", ""6"": ""Other______ SPECIFY"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
90,Q1005E,"Since the beginning of the coronavirus pandemic, has the amount of housework you",float64,188,1012,7,"{""1"": ""Increased a lot"", ""2"": ""Increased a little"", ""3"": ""Stayed the same"", ""4"": ""Decreased a little"", ""5"": ""Decreased a lot"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
91,Q1006A,And what sector do you work in? Do you work in the…,float64,528,672,4,"{""1"": ""public sector"", ""2"": ""private sector"", ""3"": ""OTHER"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,98.0
92,Q1006B_CODE,"Post-code: In a few words, can you tell me what industry you work in?",float64,528,672,21,"{""1"": ""Agriculture, livestock rearing, fishing"", ""2"": ""Arts and entertainment"", ""3"": ""Beauty and salon services"", ""4"": ""Exploration and drilling"", ""5"": ""Industry"", ""6"": ""Electricity, gas and water"", ""7"": ""Construction work"", ""8"": ""Wholesale and retail sale, auto repair"", ""9"": ""Hotels, restaurants, tourism"", ""10"": ""Transportation and warehousing"", ""11"": ""Financial intermediation, brokerage"", ""12"": ""Real estate, leasing and business"", ""13"": ""Government, public administration, and defense"", ""14"": ""International organizations and agencies"", ""15"": ""Local nongovernmental or nonprofit work"", ""16"": ""Education and research"", ""17"": ""Health and social work"", ""18"": ""Information technology and communication"", ""19"": ""Media and journalism"", ""20"": ""Other"", ""99"": ""Refused to answer""}",,1.0,99.0
93,Q1016,Which of these statements comes closest to describing your net household income?,float64,1200,0,6,"{""1"": ""Our net household income covers our expenses and we are able to save."", ""2"": ""Our net household income covers our expenses without notable difficulties."", ""3"": ""Our net household income does not cover our expenses; we face some difficulties."", ""4"": ""Our net household income does not cover our expenses; we face significant difficulties."", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
94,Q1012,What is your religion?,float64,1200,0,5,"{""1"": ""Muslim"", ""2"": ""Christian"", ""3"": ""Something else: SPECIFY_______"", ""4"": ""No religion"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
95,Q1012A,What is your religious denomination?,float64,0,1200,0,"{""1"": ""Maronite"", ""2"": ""Orthodox"", ""3"": ""Catholic"", ""4"": ""Armenian"", ""5"": ""Sunni"", ""6"": ""Shia"", ""7"": ""Shafi'i'"", ""8"": ""Ja'fari"", ""9"": ""Malki"", ""10"": ""Druze"", ""11"": ""Just a Muslim"", ""12"": ""Other"", ""99"": ""Refused to answer""}",,,
96,Q1012B,What is your ethnicity?,float64,0,1200,0,"{""1"": ""Arab"", ""2"": ""Kurd"", ""3"": ""Amazigh"", ""4"": ""Turkmen"", ""5"": ""Tourag"", ""7"": ""Alkraghl"", ""8"": ""Yazidi"", ""9"": ""Assyrian"", ""12"": ""Other"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,,
97,Q609,"In general, would you describe yourself as religious, somewhat religious, or not",float64,1200,0,5,"{""1"": ""Religious"", ""2"": ""Somewhat religious"", ""3"": ""Not religious"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
98,Q602_1,"For each of the following types of people, please tell me whether you would like",float64,1200,0,7,"{""1"": ""Strongly dislike"", ""2"": ""Somewhat dislike"", ""3"": ""Would not care"", ""4"": ""Somewhat like"", ""5"": ""Strongly like"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
99,Q602_2,People of a different race or color,float64,1200,0,7,"{""1"": ""Strongly dislike"", ""2"": ""Somewhat dislike"", ""3"": ""Would not care"", ""4"": ""Somewhat like"", ""5"": ""Strongly like"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
100,Q602_3,Immigrants or foreign workers,float64,1200,0,7,"{""1"": ""Strongly dislike"", ""2"": ""Somewhat dislike"", ""3"": ""Would not care"", ""4"": ""Somewhat like"", ""5"": ""Strongly like"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
101,Q602_4A,People of a different sect of Islam,float64,1179,21,7,"{""1"": ""Strongly dislike"", ""2"": ""Somewhat dislike"", ""3"": ""Would not care"", ""4"": ""Somewhat like"", ""5"": ""Strongly like"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
102,Q602_4B,People of a different sect of Christianity,float64,4,1196,4,"{""1"": ""Strongly dislike"", ""2"": ""Somewhat dislike"", ""3"": ""Would not care"", ""4"": ""Somewhat like"", ""5"": ""Strongly like"", ""98"": ""Don’t know"", ""99"": ""Refused to answer"", ""100"": ""Respondent refused to continue""}",,1.0,5.0
103,Q1011D,Do you share this mobile phone number with any other person or is it your own pe,float64,1200,0,4,"{""1"": ""Shared with another person"", ""2"": ""Personal phone number"", ""98"": ""I don’t know"", ""99"": ""Declined to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
104,Q1011E,How many mobile phone numbers do you have?,float64,1200,0,11,"{""99"": ""Declined to answer"", ""100"": ""Respondent refused to continue""}",,0.0,99.0
105,Q1011F,Do you have a landline in the household where you currently live?,float64,1200,0,4,"{""1"": ""Yes"", ""2"": ""No"", ""98"": ""I don’t know"", ""99"": ""Declined to answer"", ""100"": ""Respondent refused to continue""}",,1.0,99.0
