position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,sentinel_codes,min,max
1,COUNTRY,Country,float64,1215,0,1,"{""0"": ""Missing; Unknown"", ""1"": ""Algeria"", ""2"": ""Egypt"", ""3"": ""Iraq"", ""4"": ""Jordan"", ""5"": ""Libya"", ""6"": ""Morocco"", ""7"": ""Tunisia""}",,,7.0,7.0
2,INTERVIEW,Interview number,float64,1215,0,1215,,,,1.0,2003.0
3,SETTLEMENT,Settlement,float64,1215,0,19,"{""30001"": ""Jabal Lwibdeh"", ""30002"": ""Jabal Housain"", ""30003"": ""Alnadeef"", ""30004"": ""Alrawdeh"", ""30005"": ""Jabal Amman"", ""30006"": ""Alashrafeh"", ""30007"": ""Alawdeh"", ""30008"": ""Jabal AlTaj"", ""30009"": ""Alakhdar"", ""50001"": ""Hay Al-Huriyeh"", ""50002"": ""Hay Al-Mukhtar"", ""50003"": ""Hay Al-Jbeileh (Sidi Younes)"", ""50004"": ""Hay Jbeileh Al-Sharqieh"", ""50005"": ""Al-Bayda Al-Markaz"", ""50006"": ""Hay Bu Mariam"", ""50007"": ""Hay Omar Al-Mukhtar"", ""50008"": ""Shahat"", ""50009"": ""Al-Marj Al-Qadeem"", ""60001"": ""Khouribga"", ""60002"": ""Settat"", ""60003"": ""Safi"", ""60004"": ""El Jadida"", ""60005"": ""Boulemane"", ""60006"": ""F?s"", ""60007"": ""Sidi Kacem"", ""60008"": ""K?nitra"", ""60009"": ""Casablanca"", ""300010"": ""Taberbor"", ""300011"": ""Alshaheed"", ""300012"": ""Hamzah"", ""300013"": ""Hai Jaded"", ""300014"": ""Almanarh"", ""300015"": ""Princess Alia"", ""300016"": ""Jabal Alnozha"", ""300017"": ""Alhashmi Alshamali"", ""300018"": ""Ragadan"", ""300019"": ""Alqwesmenh"", ""300020"": ""Alnaherah"", ""300021"": ""Alorobah"", ""300022"": ""Um Nowarah"", ""300023"": ""Alyadodeh"", ""300024"": ""Hai Gamadan"", ""300025"": ""Hai Alwafa"", ""300026"": ""Almoqableen"", ""300027"": ""Alhouseneh"", ""300028"": ""Albaladeh"", ""300029"": ""Alrasheed"", ""300030"": ""Alsadeeq"", ""300031"": ""Alhai Alsarqi"", ""300032"": ""Alkamaleh"", ""300033"": ""Alsalheen"", ""300034"": ""Tela' Alshamail"", ""300035"": ""Hai Amaneh"", ""300036"": ""Hai Alfarooq"", ""300037"": ""Zhebh"", ""300038"": ""Tab Kraa'"", ""300039"": ""Alrawabi"", ""300040"": ""Aljandaweel"", ""300041"": ""Wadi Alseer"", ""300042"": ""Alkorsi"", ""300043"": ""Um uthenah Algarbi"", ""300044"": ""The fifth"", ""300045"": ""Alrajaheh"", ""300046"": ""The First"", ""300047"": ""Almansheh"", ""300048"": ""Rojm Shami Algharbi"", ""300049"": ""Um Albasateen"", ""300050"": ""Valley Kurds"", ""300051"": ""Almayameen"", ""300052"": ""Alsbehi"", ""300053"": ""Alroweha"", ""300054"": ""Thahrat Alramel"", ""300055"": ""Albalawneh"", ""300056"": ""the South"", ""300057"": ""Mahes"", ""300058"": ""Alnozha"", ""300059"": ""Commercial center"", ""300060"": ""Ramzi"", ""300061"": ""Hai Mah'soom"", ""300062"": ""Ghuwayriyah"", ""300063"": ""Prince Mohammed"", ""300064"": ""Housing"", ""300065"": ""Great Arab Revolt"", ""300066"": ""Prince Hamzah"", ""300067"": ""Prince Hassan"", ""300068"": ""Dweik"", ""300069"": ""Zarqa Jadedh"", ""300070"": ""Western Palace Halabat"", ""300071"": ""Southern Blue"", ""300072"": ""Arabs"", ""300073"": ""Northern Mountain"", ""300074"": ""Qadisiyah"", ""300075"": ""Um locusts north"", ""300076"": ""Altatweer"", ""300077"": ""Jafar Tayar"", ""300078"": ""Msherfh"", ""300079"": ""Prince Faisal"", ""300080"": ""Hettin camp"", ""300081"": ""Alhashmiah"", ""300082"": ""Hashemite"", ""300083"": ""Madaba Camp"", ""300084"": ""Hanena"", ""300085"": ""Alolama"", ""300086"": ""Jreneh"", ""300087"": ""Alareesh"", ""300088"": ""Mleh"", ""300089"": ""Lib"", ""300090"": ""Howarah"", ""300091"": ""Bet Rass"", ""300092"": ""Bet Yafa"", ""300093"": ""AlMedan"", ""300094"": ""Alawadah"", ""300095"": ""Alworord"", ""300096"": ""Not known"", ""300097"": ""Alqaseklah"", ""300098"": ""Alsaha"", ""300099"": ""the sixth"", ""500010"": ""Al-Marj Al-Jadeed"", ""500011"": ""Hay 700"", ""500012"": ""Hay \""Area A\"""", ""500013"": ""Hay Al-Mantikah Al-Rab'iah"", ""500014"": ""Souq Al-Jareed"", ""500015"": ""Emarat Al-Kish"", ""500016"": ""Al-Salmani Al-Gharbi"", ""500017"": ""Al-Salmani Al-Sharqi"", ""500018"": ""Al-Mustashfa Al-Askari"", ""500019"": ""Al-Hesbat Al-Askarieh"", ""500020"": ""Hay Al-Mukhtar"", ""500021"": ""Al-Hada'eq"", ""500022"": ""Al-Saberi"", ""500023"": ""Al-Hawwari"", ""500024"": ""Bu Hdaimah"", ""500025"": ""Al-Barakeh"", ""500026"": ""Qanfoodeh"", ""500027"": ""Al-Masaken"", ""500028"": ""Benghazi Al-Markaz"", ""500029"": ""Ras Ebeidah"", ""500030"": ""Al-Oroobeh"", ""500031"": ""Bu Atni"", ""500032"": ""Hay Al-Fateh"", ""500033"": ""Hay Bu Shouq"", ""500034"": ""Al-Zawieh"", ""500035"": ""Al-Hara Al-Gharbieh"", ""500036"": ""Al-Swedieh"", ""500037"": ""Al-Markaz"", ""500038"": ""Al-Jouf"", ""500039"": ""Al-Harah"", ""500040"": ""Al-Tobat"", ""500041"": ""Al-Kufrah Al-Jadideh"", ""500042"": ""Jalou"", ""500043"": ""Ojalah"", ""500044"": ""Tazirbou Al-Madinah"", ""500045"": ""Ribyanah"", ""500046"": ""Hay Al-Sahel Al-Sharqi"", ""500047"": ""Hay Bu Mansoor"", ""500048"": ""Hay Al-Salam"", ""500049"": ""Al-Markaz"", ""500050"": ""Souq Al-Jum'ah Al-Markazi"", ""500051"": ""Hay Al-Shuheibi"", ""500052"": ""Hay Al-Hani"", ""500053"": ""Hay Al-Sharqieh"", ""500054"": ""Bu Mashamsheh"", ""500055"": ""Fashloum"", ""500056"": ""Hay Al-Maqleef"", ""500057"": ""Hay Um Durman"", ""500058"": ""Hay Al-In'ithaq"", ""500059"": ""Hay Nadi Al-Itihad"", ""500060"": ""Hay 2 March"", ""500061"": ""Hay 10th Street"", ""500062"": ""Hay Bab Al-Ezizieh"", ""500063"": ""Hay Al-Hamedieh"", ""500064"": ""Hay Ben Al-Ajhar"", ""500065"": ""Souq A-Jum'ah"", ""500066"": ""Al-Hay Al-Jame'ii"", ""500067"": ""Shohada Bu Milianah"", ""500068"": ""Al-Sahah Al-Khadra"", ""500069"": ""Bab Ben Ghashier"", ""500070"": ""Ghout Al-Sha'al"", ""500071"": ""Al-Madinah Al-Qadeemah"", ""500072"": ""Oqbah Ben Naf'e"", ""500073"": ""Tajoorah Al-Markaz"", ""500074"": ""Hay Janzoor"", ""500075"": ""Hay Al-Sayyad"", ""500076"": ""Hay Al-Sawani"", ""500077"": ""Hay Al-Zahraa"", ""500078"": ""Hay Al-Mamoorah"", ""500079"": ""Hay Al-Warshafanah"", ""500080"": ""Hay Al-Saleen"", ""500081"": ""Hay Ghnaimah"", ""500082"": ""Hay Souq Al-Khamis"", ""500083"": ""Hay Libdah"", ""500084"": ""Hay  20th Street"", ""500085"": ""Hay Al-Hara'ii"", ""500086"": ""Al-Zawieh Al-Markaz"", ""500087"": ""Al-Zawieh Al-Janoobieh"", ""500088"": ""Al-Harah"", ""500089"": ""Al-Zawieh Al-jadeedeh"", ""500090"": ""Bir Al-Tirfas"", ""500091"": ""Hay Al-Toobieh"", ""500092"": ""Hay Al-Sabrieh"", ""500093"": ""Tarablus Street"", ""500094"": ""Benghazi Street"", ""500095"": ""Hay Tumainah"", ""500096"": ""Hay Tawerga"", ""500097"": ""Hay Buroyah"", ""500098"": ""Hay Al-Kharoobeh"", ""500099"": ""Hay Al-Qaseer"", ""600010"": ""Gu?lmim"", ""600011"": ""Tan Tan"", ""600012"": ""Essaouira"", ""600013"": ""Marrakech"", ""600014"": ""Al Haouz"", ""600015"": ""M?kn?s"", ""600016"": ""El Hajeb"", ""600017"": ""Errachidia"", ""600018"": ""Oujda-Angad"", ""600019"": ""Berkane"", ""600020"": ""Nador"", ""600021"": ""Sal?"", ""600022"": ""Rabat"", ""600023"": ""Agadir Ida Ou Tanane"", ""600024"": ""Inezgane Ait Melloul"", ""600025"": ""Ouarzazate"", ""600026"": ""Azilal"", ""600027"": ""B?ni Mellal"", ""600028"": ""Tanger-Assilah"", ""600029"": ""Larache"", ""600030"": ""Taounate"", ""600031"": ""Taza"", ""600032"": ""Benslimane"", ""600033"": ""Moulay Yacoub"", ""600034"": ""Mohammedia"", ""600035"": ""EL KELAA DES  SRAGHNA"", ""600036"": ""Kh?nifra"", ""600037"": ""Skhirate T?mara"", ""600038"": ""Kh?misset"", ""600039"": ""Taroudannt"", ""600040"": ""Tiznit"", ""600041"": ""Chtouka Ait Baha"", ""600042"": ""Zagora"", ""600043"": ""CHEFCHAOUEN"", ""2000274"": ""Gisr Shobra"", ""2000340"": ""Masakaen Amereya Shamaleya"", ""2000351"": ""Arab Abo Tawaila"", ""2000388"": ""Stadium"", ""2000444"": ""Berket El-Nasr"", ""2000478"": ""Al-Essaweya"", ""2000621"": ""Al-Qasey Bahary"", ""2000743"": ""Safar Basha"", ""2000825"": ""Hegr El-Nawateya"", ""3000100"": ""the tenth"", ""3000101"": ""Alturra"", ""3000102"": ""Emrawah"", ""3000103"": ""Der Abi Saeed"", ""3000104"": ""Kfor Awan"", ""3000105"": ""Hatem"", ""3000106"": ""Um Qais"", ""3000107"": ""the north Barn"", ""3000108"": ""Almashare'"", ""3000109"": ""Waqas"", ""3000110"": ""Alhusin"", ""3000111"": ""Edoun"", ""3000112"": ""Almazar Alshamali"", ""3000113"": ""Erhaba"", ""3000114"": ""johfeh"", ""3000115"": ""Der Se'neh"", ""3000116"": ""Mandah"", ""3000117"": ""king abdullah"", ""3000118"": ""Alnahdah"", ""3000119"": ""prince Gazi"", ""3000120"": ""Sabha"", ""3000121"": ""Thagrah Job"", ""3000122"": ""Old Khaldiah"", ""3000123"": ""Soof"", ""3000124"": ""Prophet Hood"", ""3000125"": ""Soof Camp"", ""3000126"": ""the town"", ""3000127"": ""Barma"", ""3000128"": ""Anjara"", ""3000129"": ""Halaweh"", ""3000130"": ""Sakhrah"", ""3000131"": ""Arjan"", ""3000132"": ""Kufranja"", ""3000133"": ""Ballas"", ""3000134"": ""Manshyet Abu Hammour"", ""3000135"": ""Ghuwair"", ""3000136"": ""Karak"", ""3000137"": ""Mazar South"", ""3000138"": ""Mutah"", ""3000139"": ""Um Hamat"", ""3000140"": ""Palace"", ""3000141"": ""Rabah"", ""3000142"": ""Gore Safi"", ""3000143"": ""Aei"", ""3000144"": ""Amra"", ""3000145"": ""Qatraneh"", ""3000146"": ""Ais"", ""3000147"": ""Third"", ""3000148"": ""fifth"", ""3000149"": ""Bsera"", ""3000150"": ""Grndl"", ""3000151"": ""Rashadiyah"", ""3000152"": ""Hasa"", ""3000153"": ""First"", ""3000154"": ""Fourth"", ""3000155"": ""Seventh"", ""3000156"": ""Alfrzkh"", ""3000157"": ""Abu Allsn"", ""3000158"": ""Wadi Musa"", ""3000159"": ""Altebaeh"", ""3000160"": ""Shobak"", ""3000161"": ""Red Hill"", ""3000162"": ""Doha"", ""3000163"": ""Alrwdah"", ""3000164"": ""Zahra"", ""3000165"": ""Shalala"", ""3000166"": ""Old town"", ""3000167"": ""Alhama Aljadedeh"", ""5000100"": ""Hay Al-Dam"", ""5000101"": ""Hay Al-Dafnieh"", ""5000102"": ""Hay Zawiet Al-Mahjoob"", ""5000103"": ""Hay Al-Kararim"", ""5000104"": ""Hay Al-Zar'ii"", ""5000105"": ""Al-Hadabeh Al-Khadraa"", ""5000106"": ""Hay Al-Sahel Al-Sharqi"", ""5000107"": ""Hay Bu Mansoor"", ""5000108"": ""Al-Markaz"", ""5000109"": ""Hay Al-Salam"", ""20001101"": ""Shaiakha (1)"", ""20001114"": ""Al-Sananeya"", ""20001120"": ""Shat Al-Shoara"", ""20001126"": ""Ezzab Al-Basarta"", ""20001131"": ""Faraskor City"", ""20001151"": ""Kafr Al-Arab"", ""20001178"": ""Al-Sawalem"", ""20001190"": ""Kafr Suleiman Al-Bahary"", ""20001241"": ""Kafr Suleiman Al-Bahary"", ""20003155"": ""Ali Mustafa Zawawi"", ""20003161"": ""Ibaadeyat Al-Rawda"", ""20003176"": ""Al-Kafr Al-Gadid"", ""20003221"": ""Bar Bahary"", ""20003226"": ""Beyalla City"", ""20003236"": ""Kafr Al-Garayda"", ""20003246"": ""Desouk City"", ""20003262"": ""Sanhour city"", ""20003268"": ""Azab Al-Shabaseya"", ""20003291"": ""Sidi Salem City"", ""20003300"": ""Al-Foqahaa Al-Bahariya"", ""20003329"": ""Qebrat"", ""20003336"": ""Qelin City"", ""20003337"": ""Bakatosh"", ""20003353"": ""Kafr Alemrazkh"", ""20003370"": ""Alqomcion East"", ""20003379"": ""Azab Al-Waqf Bahary"", ""20003397"": ""Al-Hamoul sector"", ""20003423"": ""Om Sen Al-Kobra"", ""20005558"": ""Mafinat Al-Omal"", ""20005836"": ""Warraq City"", ""20005846"": ""Talbya Qeblya"", ""20006401"": ""Kism (1)"", ""20006426"": ""Dasya"", ""20006447"": ""Hawara Al-maqtaa"", ""20006459"": ""Jilani"", ""20006471"": ""Kafr Abboud"", ""20006481"": ""Itsa City"", ""20006501"": ""Gerdo"", ""20006536"": ""Snurs City"", ""20006545"": ""Bahmu"", ""20006613"": ""Ali Pasha Rouby"", ""20007252"": ""Second"", ""20007269"": ""Al-Waleedya Al-Wastanya"", ""20007311"": ""Abnoub City"", ""20007318"": ""Beni Mhamdiat"", ""20007367"": ""Teama"", ""20007396"": ""Nazlet El-Malek"", ""20007409"": ""Almhayah Bahary"", ""20007421"": ""Qusiya City"", ""20007427"": ""Al-Haradana"", ""20007511"": ""Sadfa City"", ""20007538"": ""Al-Hawatka"", ""20007553"": ""Damanhur"", ""20007586"": ""Arab El-Tawla""}",,,1.0,99.0
4,DISTRICT,"District, county",float64,1152,63,125,"{""30001"": ""Amman"", ""30002"": ""Balqa"", ""30003"": ""Zarqa"", ""30004"": ""Madaba"", ""30005"": ""Irbid"", ""30006"": ""Mafraq"", ""30007"": ""Jerash"", ""30008"": ""Ajloun"", ""30009"": ""Karak"", ""50001"": ""Al-Butnan"", ""50002"": ""Al-Jabal al-Akhdar"", ""50003"": ""Al-Jifarah"", ""50004"": ""Al-Kufrah"", ""50005"": ""Al-Marj"", ""50006"": ""Al-Marqab"", ""50007"": ""Al-Wahah"", ""50008"": ""Az-Zawiyah"", ""50009"": ""Binghazi"", ""60001"": ""Khouribga"", ""60002"": ""Oued Zem"", ""60003"": ""Settat"", ""60004"": ""Safi"", ""60005"": ""El-Jadida"", ""60006"": ""Imouzzer Marmoucha"", ""60007"": ""Saiss"", ""60008"": ""F?s-M?dina"", ""60009"": ""Agdal"", ""300010"": ""Tafelah"", ""300011"": ""Ma'an"", ""300012"": ""Aqaba"", ""500010"": ""Darnah"", ""500011"": ""Misratah"", ""500012"": ""Tripoli"", ""600010"": ""El Mariniyine"", ""600011"": ""Ouezzane"", ""600012"": ""Sidi-Kacem"", ""600013"": ""K?nitra"", ""600014"": ""Sidi Belyout"", ""600015"": ""El Maarif"", ""600016"": ""Mers-Sultan"", ""600017"": ""Sidi Othmane"", ""600018"": ""Moulay Rachid"", ""600019"": ""Ben M'Sick"", ""600020"": ""A?n-Chock"", ""600021"": ""Hay Mohammadi"", ""600022"": ""Sidi Bernoussi"", ""600023"": ""Assoukhour Assawda"", ""600024"": ""A?n-Seba?"", ""600025"": ""Bouizakarne"", ""600026"": ""Tan Tan"", ""600027"": ""Essaouira"", ""600028"": ""Marrakech-M?dina"", ""600029"": ""Sidi Youssef Ben Ali"", ""600030"": ""M?nara"", ""600031"": ""Amizmiz"", ""600032"": ""Mekn?s"", ""600033"": ""Ain Taoujdate"", ""600034"": ""Errachidia"", ""600035"": ""Oujda"", ""600036"": ""Berkane"", ""600037"": ""Guelaia"", ""600038"": ""Louta"", ""600039"": ""Tabriquet"", ""600040"": ""Bab Lamrissa"", ""600041"": ""Layayda"", ""600042"": ""Hassan"", ""600043"": ""Yacoub El Mansour"", ""600044"": ""Agadir Ida Ou Tanane"", ""600045"": ""Inezgane Ait Melloul"", ""600046"": ""Ouarzazate"", ""600047"": ""Azilal -Demnate"", ""600048"": ""Azilal"", ""600049"": ""B?ni Mellal"", ""600050"": ""B?ni Mellal (Kasba Tadla)"", ""600051"": ""Tanger-M?dina"", ""600052"": ""Larache"", ""600053"": ""Taounate"", ""600054"": ""Taza"", ""600055"": ""Taza ()Guercif"", ""600056"": ""Benslimane"", ""600057"": ""Berrechid"", ""600058"": ""Settat"", ""600059"": ""Gzoula"", ""600060"": ""Sidi Bennour"", ""600061"": ""Zemamra"", ""600062"": ""Moulay Yacoub"", ""600063"": ""Mechra Belmsiri"", ""600064"": ""ASouk Arbaa El Gharb"", ""600065"": ""Souk Tlet El Gharb"", ""600066"": ""Znata"", ""600067"": ""Tamanar"", ""600068"": ""Loudaya"", ""600069"": ""Tahannaout"", ""600070"": ""El Kelaa des Sraghna"", ""600071"": ""Sidi Bou Othmane"", ""600072"": ""Rhamna"", ""600073"": ""Kh?nifra"", ""600074"": ""ElKbab"", ""600075"": ""Arfoud"", ""600076"": ""Guelaia"", ""600077"": ""T?mara"", ""600078"": ""Kh?misset"", ""600079"": ""Oulad Teima"", ""600080"": ""Irherm"", ""600081"": ""Taliouine"", ""600082"": ""Oulad Berhil"", ""600083"": ""Tiznit"", ""600084"": ""Tafraout"", ""600085"": ""Biougra"", ""600086"": ""Zagora"", ""600087"": ""Bni Moussa"", ""600088"": ""Fquih Ben Salah"", ""600089"": ""Assilah"", ""600090"": ""Bab Taza"", ""600091"": ""Moqrisset"", ""600092"": ""Bou Ahmed"", ""600093"": ""Taounate"", ""600094"": ""Tissa"", ""600095"": ""Guercif"", ""600096"": ""Karia Ba Mohamed"", ""2000119"": ""Kism Shobra"", ""2000124"": ""Kism El-Zeitoun"", ""2000125"": ""Kism El-Matarya"", ""2000126"": ""Kism El-Matarya"", ""2000127"": ""Kism 2 Nasr City"", ""2000132"": ""Kism El-Salam"", ""2000135"": ""Kism El-Basateen"", ""2000202"": ""Kism 1 Al-Raml"", ""2000210"": ""Kism El-Gomrok"", ""2000217"": ""Kism 2 El-Raml"", ""4000131"": ""Al Slimanyah"", ""4000133"": ""Sharazor"", ""4000141"": ""Karkuk"", ""4000151"": ""Erbil"", ""4000152"": ""Dashtihawler/Banslawah"", ""4000153"": ""So`ran"", ""4000156"": ""Kwisinjak"", ""4000211"": ""Ba`quba"", ""4000213"": ""Khales"", ""4000231"": ""Al risafa"", ""4000232"": ""Al adhamiya"", ""4000233"": ""Al Sader/2"", ""4000234"": ""Al Sader/1"", ""4000235"": ""Al karkh"", ""4000236"": ""Al kadhimiya"", ""4000237"": ""Al mahmudiya"", ""4000241"": ""Hilla"", ""4000242"": ""Al mahaweel"", ""4000243"": ""Al-hashimya"", ""4000245"": ""Al msyab"", ""4000251"": ""Karbala center"", ""4000253"": ""Al hindya"", ""4000261"": ""Kut"", ""4000265"": ""Al swera"", ""4000271"": ""Tikreet"", ""4000273"": ""Samarra"", ""4000281"": ""Najaf"", ""4000282"": ""Al-kufa"", ""4000311"": ""Dewanya"", ""4000314"": ""Al-shamya"", ""4000331"": ""Naserya"", ""4000333"": ""Souq al-shyokh"", ""4000335"": ""Al shatra"", ""4000351"": ""Al basra"", ""4000352"": ""Abu al khasib"", ""4000353"": ""Al zubair"", ""4000356"": ""Shat el arab"", ""20001101"": ""Kism 1 Damitta"", ""20001102"": ""Markaz Damitta"", ""20001103"": ""Markaz Faraskor"", ""20001104"": ""Markaz Kafr Saad"", ""20001109"": ""Kism 2 Damitta"", ""20001501"": ""Kism Kafr El-Sheikh"", ""20001502"": ""Markaz Kafr El-Sheikh"", ""20001503"": ""Markaz El-Borolos"", ""20001504"": ""Markaz Biyala"", ""20001505"": ""Lism Desouq"", ""20001506"": ""Markaz Desouq"", ""20001507"": ""Markaz Sidi Salem"", ""20001508"": ""Markaz Foah"", ""20001509"": ""Markaz Qeleen"", ""20001510"": ""Markaz Motobas"", ""20001511"": ""Markaz Al-Hamool"", ""20001512"": ""Markaz Al-Reyad"", ""20002101"": ""Kism Imbaba"", ""20002117"": ""Kism El-Waraq"", ""20002118"": ""Kism El-Omranya"", ""20002301"": ""Kism El-Fayoum"", ""20002302"": ""Markaz El-Fayoum"", ""20002303"": ""Markaz Ebsheway"", ""20002304"": ""Markaz Itssa"", ""20002305"": ""Markaz Snouris"", ""20002307"": ""Markaz Yousuf El-Seddiq"", ""20002501"": ""Kism 1 Assiut"", ""20002502"": ""Kism 2 Assiut"", ""20002504"": ""Markaz Abnob"", ""20002506"": ""Markaz El-Badara"", ""20002507"": ""Markaz Sahel Selim"", ""20002508"": ""Markaz Al-Ghanayem"", ""20002509"": ""Markaz El-Qossya"", ""20002511"": ""Markaz Sodfa"", ""20002512"": ""Markaz Manfaloot"", ""20002513"": ""Markaz El-Fath"", ""40001310"": ""Ranya"", ""40001315"": ""Chamchamal"", ""40002310"": ""23""}",,,700.0,851.0
5,REGION,Region where the interview was conducted,float64,1215,0,30,"{""20001"": ""Cairo"", ""20002"": ""Alexandria"", ""30001"": ""Middle"", ""30002"": ""North"", ""30003"": ""South"", ""30004"": ""South"", ""40001"": ""Arbil"", ""40002"": ""Al - Sulaimaniya"", ""40004"": ""Ninawa"", ""40005"": ""kurkuk"", ""40006"": ""Salah Al Deen"", ""40007"": ""Dyala"", ""40008"": ""Anbar"", ""40009"": ""Baghdad"", ""50001"": ""East"", ""50002"": ""Central"", ""50003"": ""West"", ""50004"": ""South"", ""60001"": ""Gu?lmim-Es Semara"", ""60002"": ""Souss-Massa-Dra?"", ""60003"": ""Gharb-Cherarda-B?ni Hssen"", ""60004"": ""Chaouia-Ouardigha"", ""60005"": ""Marrakech-Tensift-Al Haouz"", ""60006"": ""Oriental"", ""60007"": ""Grand-Casablanca"", ""60008"": ""Rabat-Sal?-Zemmour-Za?r"", ""60009"": ""Doukala-Abda"", ""200011"": ""Damitta"", ""200015"": ""Kafr El-Sheikh"", ""200021"": ""Giza"", ""200023"": ""Fayoum"", ""200025"": ""Assiut"", ""400010"": ""Babylon"", ""400011"": ""Al- Qadisiyah"", ""400012"": ""Al Najaf"", ""400013"": ""Karbala"", ""400014"": ""Wasit"", ""400015"": ""DhiQar"", ""400016"": ""Basrah"", ""600010"": ""Tadla-Azilal"", ""600011"": ""M?kn?s-Tafilalet"", ""600012"": ""F?s-Boulemane"", ""600013"": ""Taza-Al Hoceima-Taounate"", ""600014"": ""Tanger-T?touan""}",,,700.0,730.0
6,DATEINT,Date of interview,float64,1215,0,41,"{""20140520"": ""20140520"", ""20140521"": ""20140521"", ""20140522"": ""20140522"", ""20140523"": ""20140523"", ""20140524"": ""20140524"", ""20140525"": ""20140525"", ""20140526"": ""20140526"", ""20140527"": ""20140527"", ""20140528"": ""20140528"", ""20140529"": ""20140529"", ""20140530"": ""20140530"", ""20140531"": ""20140531"", ""20140601"": ""20140601"", ""20140602"": ""20140602"", ""20140603"": ""20140603"", ""20140604"": ""20140604"", ""20140605"": ""20140605"", ""20140606"": ""20140606"", ""20140607"": ""20140607"", ""20140608"": ""20140608"", ""20140609"": ""20140609"", ""20140610"": ""20140610"", ""20140611"": ""20140611"", ""20140612"": ""20140612"", ""20140613"": ""20140613"", ""20140614"": ""20140614"", ""20140615"": ""20140615"", ""20140616"": ""20140616"", ""20140617"": ""20140617"", ""20140618"": ""20140618"", ""20140619"": ""20140619"", ""20140620"": ""20140620"", ""20140621"": ""20140621"", ""20140622"": ""20140622"", ""20140623"": ""20140623"", ""20140624"": ""20140624"", ""20140625"": ""20140625"", ""20140626"": ""20140626"", ""20140627"": ""20140627"", ""20140628"": ""20140628"", ""20140629"": ""20140629"", ""20140630"": ""20140630"", ""20140701"": ""20140701"", ""20140702"": ""20140702"", ""20140703"": ""20140703"", ""20140704"": ""20140704"", ""20140705"": ""20140705"", ""20140706"": ""20140706"", ""20140707"": ""20140707"", ""20140708"": ""20140708"", ""20140709"": ""20140709"", ""20140710"": ""20140710"", ""20140711"": ""20140711"", ""20140712"": ""20140712"", ""20140713"": ""20140713"", ""20140714"": ""20140714"", ""20140715"": ""20140715"", ""20140716"": ""20140716"", ""20140717"": ""20140717"", ""20140718"": ""20140718"", ""20140719"": ""20140719"", ""20140720"": ""20140720"", ""20140721"": ""20140721"", ""20140722"": ""20140722"", ""20140723"": ""20140723"", ""20140724"": ""20140724"", ""20140725"": ""20140725"", ""20140726"": ""20140726"", ""20140727"": ""20140727"", ""20140728"": ""20140728"", ""20140729"": ""20140729"", ""20140730"": ""20140730"", ""20140731"": ""20140731"", ""20140801"": ""20140801"", ""20140802"": ""20140802"", ""20140803"": ""20140803"", ""20140804"": ""20140804"", ""20140805"": ""20140805"", ""20140806"": ""20140806"", ""20140807"": ""20140807"", ""20140808"": ""20140808"", ""20140809"": ""20140809"", ""20140810"": ""20140810"", ""20140811"": ""20140811"", ""20140812"": ""20140812"", ""20140813"": ""20140813"", ""20140814"": ""20140814"", ""20140815"": ""20140815"", ""20140816"": ""20140816"", ""20140817"": ""20140817"", ""20140818"": ""20140818"", ""20140819"": ""20140819"", ""20140820"": ""20140820"", ""20140821"": ""20140821"", ""20140822"": ""20140822"", ""20140823"": ""20140823"", ""20140824"": ""20140824"", ""20140825"": ""20140825"", ""20140826"": ""20140826"", ""20140827"": ""20140827"", ""20140828"": ""20140828"", ""20140829"": ""20140829"", ""20140830"": ""20140830"", ""20140831"": ""20140831""}",,,13627008000.0,13631760000.0
7,TIMESTART,Time start (HHMM),float64,537,678,340,,,,300.0,82860.0
8,V1,Compare your living conditions with other people in your country,float64,1215,0,7,"{""1"": ""Much worse"", ""2"": ""Worse"", ""3"": ""Similar"", ""4"": ""Better"", ""5"": ""Much better"", ""96"": ""Not asked"", ""97"": ""Missing"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,,1.0,99.0
9,V2,Most people are trustworthy or not,float64,1215,0,4,"{""1"": ""Most people are trustworthy"", ""2"": ""Most people are not trustworthy"", ""96"": ""Not asked"", ""97"": ""Missing"", ""98"": ""Don't know"", ""99"": ""Refused to answer""}",,,1.0,99.0
10,V3_1,Challenges: economic situation,float64,1215,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
