series,survey,variable,question_text,facets,concordance_group
arab-barometer,ab-w02,q213,"q213 Some people say that nowadays it is impossible to obtain a job without connections, while others say that jobs are only available to qualified candidates. Based on a recent experience (or experiences) you are personally aware of, do you think that",connections,
arab-barometer,ab-w03,q213,"q213 Some people say it is impossible to obtain a job without connections, while others say that jobs are only available to qualified candidates. Based on recent experience(s) you are personally aware of, do you think that",connections,
arab-barometer,ab-w04,q213,"Some people say that nowadays it is impossible toget a job without connections (wasta) while otherssay that jobs are only available to qualifiedcandidates. Based on a recent experience (orexperiences) you are personally aware of, do youthink that … ?",connections,
arab-barometer,ab-w05,Q213A_2,CORRUPTION: DEFINITION: OFFICIAL PROVDING WASTA FOR RELATIVES,connections,
arab-barometer,ab-w05,Q213B,CORRUPTION: WASTA: JOBS,connections,
arab-barometer,ab-w07,Q122_6,Q122_6. Do public sector and private sector jobs require more wasta?,connections,
arab-barometer,ab-w08,Q552_2B,Q552_2B Contacted government officials or institutions using wasta,connections,
afrobarometer,afro-w05,Q56B,Q56b. How often people treated unequally,discrimination,Q0378
afrobarometer,afro-w05,Q98C_ARB,Q98c. arb. How often religious group treated unfairly,discrimination,
afrobarometer,afro-w06,Q51B,Q51b. How often people treated unequally,discrimination,Q0378
afrobarometer,afro-w07,Q42D,Q42d. How often people treated unequally,discrimination,Q0378
afrobarometer,afro-w07,Q86B,Q86b. Experienced discrimination based on religion,discrimination,
afrobarometer,afro-w07,Q86C,Q86c. Experienced discrimination based on ethnicity,discrimination,
afrobarometer,afro-w07,Q86D,Q86d. Experienced discrimination based on disability,discrimination,
afrobarometer,afro-w08,Q40E,Q40e. How often people treated unequally,discrimination,Q0378
afrobarometer,afro-w08,Q5,Q5. Treated unfairly by government based on economic status,discrimination,
afrobarometer,afro-w08,Q82A,Q82a. Ethnic group treated unfairly by government,discrimination,Q0751
afrobarometer,afro-w08,Q84A,Q84a. Unfair treatment by other people based on economic status,discrimination,
afrobarometer,afro-w08,Q84B,Q84b. Unfair treatment by other people based on religion,discrimination,
afrobarometer,afro-w08,Q84C,Q84c. Unfair treatment by other people based on ethnicity,discrimination,
afrobarometer,afro-w08,Q98B,Q98b. Religious group treated unfairly by government,discrimination,
afrobarometer,afro-w10,Q34D,Q34d. How often people treated unequally under law,discrimination,
afrobarometer,afro-w10,Q83B,Q83b. Ethnic group treated unfairly by government,discrimination,Q0751
arab-barometer,ab-w07,Q872,Q872. Do you believe racial discrimination is a serious problem in your country?,discrimination,
arab-barometer,ab-w07,Q872_MAUR,Q872_MAUR. Do you believe racial discrimination is a serious problem in your country?,discrimination,
arab-barometer,ab-w07,Q873A,Q873A. Do you believe dark skinned people in your country face racial discrimination?,discrimination,
arab-barometer,ab-w07,Q873B,Q873B. Do you believe black people in your country face racial discrimination?,discrimination,
arab-barometer,ab-w07,Q873B_MAUR,Q873B_MAUR. Do you believe black people in your country face racial discrimination?,discrimination,
arab-barometer,ab-w07,Q874,Q874. Have you ever had someone use a racist or discriminatory phrase against you?,discrimination,
arab-barometer,ab-w07,Q905,Q905. To what extent do you think Sub-Saharan migrants are discriminated against in your country?,discrimination,
arab-barometer,ab-w08,Q872A,Q872A To what extent do you believe racial discrimination is a serious problem in?,discrimination,
arab-barometer,ab-w08,Q872B,Q872B Do you believe discrimination on the basis of race or ethnicity is a serious problem in?,discrimination,
arab-barometer,ab-w08,Q872C_PAL,[PROGRAMER: IF COUNTRY==15] To what extent do you believe racial discrimination by Israelis against Palestinians is a serious problem in the West Bank and Gaza?,discrimination,
arab-barometer,ab-w08,Q879,Q879 You said people in face discrimination because of ${Q879_text}. Which of these poses the biggest problem in? Is it discrimination based on…,discrimination,
arab-barometer,ab-w08,Q882,"In the past year, have you personally faced discrimination?",discrimination,
arab-barometer,ab-w08,Q883,"In your opinion, what is the main reason for being discriminated against? Was it because of your…",discrimination,
arab-barometer,ab-w08,Q884A_1,Q884A In which of the following circumstances have you faced discrimination because of ${Q884_1_text}? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_2,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_3,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_4,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_5,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_6,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_7,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_8,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_90,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_98,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884A_99,In which of the following circumstances have you faced discrimination because of ? Please tell me all that apply from the following list,discrimination,
arab-barometer,ab-w08,Q884B_1,"Q884B And thinking about discrimination you faced because of ${Q884_1_text}, have you…?",discrimination,
arab-barometer,ab-w08,Q884B_2,"And thinking about discrimination you faced because of , have you… ?",discrimination,
arab-barometer,ab-w08,Q884B_3,"And thinking about discrimination you faced because of , have you… ?",discrimination,
arab-barometer,ab-w08,Q884B_4,"And thinking about discrimination you faced because of , have you… ?",discrimination,
arab-barometer,ab-w08,Q884B_5,"And thinking about discrimination you faced because of , have you… ?",discrimination,
arab-barometer,ab-w08,Q884B_6,"And thinking about discrimination you faced because of , have you… ?",discrimination,
arab-barometer,ab-w08,Q884B_7,"And thinking about discrimination you faced because of , have you… ?",discrimination,
arab-barometer,ab-w08,Q884B_8,"And thinking about discrimination you faced because of , have you… ?",discrimination,
arab-barometer,ab-w08,Q884B_90,"And thinking about discrimination you faced because of , have you… ?",discrimination,
arab-barometer,ab-w08,Q884B_98,"And thinking about discrimination you faced because of , have you… ?",discrimination,
