series,survey,variable,question_text,facets,concordance_group
afrobarometer,afro-w05,Q32,Q32. Support for democracy,democracy-support,Q0215
afrobarometer,afro-w05,Q43A_ARB,"Q43a. arb. Under a democratic system, the country’s economic performance is weak",democracy-support,
afrobarometer,afro-w05,Q43B_ARB,Q43b. arb. Democratic regimes are indecisive,democracy-support,
afrobarometer,afro-w05,Q43C_ARB,Q43c.arb. Democratic systems are not effective at maintaining order and stability,democracy-support,Q0526
afrobarometer,afro-w06,Q30,Q30. Support for democracy,democracy-support,Q0215
afrobarometer,afro-w07,Q28,Q28. Support for democracy,democracy-support,Q0215
afrobarometer,afro-w08,Q21,Q21. Support for democracy,democracy-support,Q0215
afrobarometer,afro-w10,Q22,Q22. Support for democracy,democracy-support,Q0215
arab-barometer,ab-w02,q5161,"q5161 To what extent do you agree or disagree with the following statements? 1. Under a democratic system, the country’s economic performance is weak",democracy-support,
arab-barometer,ab-w02,q5162,q5162 To what extent do you agree or disagree with the following statements? 2. Democratic regimes are indecisive and full of problems,democracy-support,
arab-barometer,ab-w02,q5163,q5163 To what extent do you agree or disagree with the following statements? 3. Democratic systems are not effective at maintaining order and stability,democracy-support,
arab-barometer,ab-w02,q5164,"q5164 To what extent do you agree or disagree with the following statements? 4. A democratic system may have problems, yet it is better than other systems",democracy-support,
arab-barometer,ab-w03,q5161,"q516.1 To what extent do you agree or disagree with the following statement? Under a democratic system, the country’s economic performance is weak",democracy-support,
arab-barometer,ab-w03,q5162,q516.2 To what extent do you agree or disagree with the following statement? Democratic regimes are indecisive and full of problems,democracy-support,
arab-barometer,ab-w03,q5163,q516.3 To what extent do you agree or disagree with the following statement? Democratic systems are not effective at maintaining order and stability,democracy-support,
arab-barometer,ab-w03,q5164,"q516.4 To what extent do you agree or disagree with the following statement? A democratic system may have problems, yet it is better than other systems",democracy-support,
arab-barometer,ab-w05,Q516_4,DIS/AGREEMENT: DEMOCRACY: BETTER THAN OTHER SYSTEMS,democracy-support,
arab-barometer,ab-w07,Q516_1,"Q516_1. Under a democratic system, the country’s economic performance is weak",democracy-support,Q0821
arab-barometer,ab-w07,Q516_2,Q516_2. Democratic regimes are indecisive and full of problems,democracy-support,Q0822
arab-barometer,ab-w07,Q516_3,Q516_3. Democratic systems are not effective at maintaining order and stability,democracy-support,Q0526
arab-barometer,ab-w07,Q516_4,"Q516_4. Democratic systems may have problems, yet they are better than other systems",democracy-support,Q0823
arab-barometer,ab-w08,Q516B_1,"Q516B_1 Under a non-democratic system, the country’s economic performance is weak",democracy-support,
arab-barometer,ab-w08,Q516B_2,Q516B_2 Non-democratic regimes are indecisive and full of problems,democracy-support,
arab-barometer,ab-w08,Q516B_3,Q516B_3 Non-democratic systems are not effective at maintaining order and stability,democracy-support,
arab-barometer,ab-w08,Q516B_4,"Q516B_4 Non-democratic systems may have problems, yet they are better than other systems",democracy-support,
arab-barometer,ab-w08,Q516_1,"Q516_1 Under a democratic system, the country’s economic performance is weak",democracy-support,Q0821
arab-barometer,ab-w08,Q516_2,Q516_2 Democratic regimes are indecisive and full of problems,democracy-support,Q0822
arab-barometer,ab-w08,Q516_3,Q516_3 Democratic systems are not effective at maintaining order and stability,democracy-support,Q0526
arab-barometer,ab-w08,Q516_4,"Q516_4 Democratic systems may have problems, yet they are better than other systems",democracy-support,Q0823
arab-opinion-index,aoi-2011,Q405_6,Q405_6.Please express your level of agreement or disagreement with each of these. Democracy has its own problems but remains better than other systems,democracy-support,Q0040
arab-opinion-index,aoi-2012-2013,Q405_6,Q405_6.Please express your level of agreement or disagreement with each of these. Democracy has its own problems but remains better than other systems,democracy-support,Q0040
arab-opinion-index,aoi-2014,Q405_6,Q405_6.Please express your level of agreement or disagreement with each of these. Democracy has its own problems but remains better than other systems,democracy-support,Q0040
arab-opinion-index,aoi-2015,Q405_6,Q405_6.Please express your level of agreement or disagreement with each of these. Democracy has its own problems but remains better than other systems,democracy-support,Q0040
arab-opinion-index,aoi-2016,Q405_6,Q405_6.Please express your level of agreement or disagreement with each of these. Democracy has its own problems but remains better than other systems,democracy-support,Q0040
arab-opinion-index,aoi-2017-2018,Q405_6,Q405_6.Please express your level of agreement or disagreement with each of these. Democracy has its own problems but remains better than other systems,democracy-support,Q0040
arab-opinion-index,aoi-2019-2020,Q405_6,Q405_6.Please express your level of agreement or disagreement with each of these. Democracy has its own problems but remains better than other systems,democracy-support,Q0040
arab-opinion-index,aoi-2022,Q405_6,Q405_6.Please express your level of agreement or disagreement with each of these. Democracy has its own problems but remains better than other systems,democracy-support,Q0040
arab-opinion-index,aoi-2024-2025,Q405_6,Q405_6.Please express your level of agreement or disagreement with each of these. Democracy has its own problems but remains better than other systems,democracy-support,Q0040
